Fecha de publicación,Página web,Titular,Encontrado por Protocolo actual LAOMS,Encontrado por Búsqueda textual,Encontrado por CSE keywords V1,Encontrado por CSE keywords V2
01/04/2012,http://www.jornada.unam.mx/2012/04/01/estados/027n1est,Riña entre alumnos de la Nicolaíta y policías en Morelia deja un herido. ,SÍ,No,Sí,Sí
01/04/2012,http://www.jornada.unam.mx/2012/04/01/estados/027n2est,Caminata de afectados por la presa Picachos cumple 2 días,SÍ,Sí,Sí,Sí
01/04/2012,http://www.jornada.unam.mx/2012/04/01/politica/007n2pol,Trifulca entre trabajadores de Mexicana y simpatizantes de la panista en el WTC. ,NO,No,Sí,No
02/04/2012,http://www.jornada.unam.mx/2012/04/02/estados/034n1est,"En huelga, obreros de VW de Silao; les quieren pagar menos",SÍ,Sí,No,Sí
02/04/2012,http://www.jornada.unam.mx/2012/04/02/estados/034n3est,Desalojan a 600 manifestantes afectados por presa Picachos,SÍ,Sí,Sí,Sí
02/04/2012,http://www.jornada.unam.mx/2012/04/02/politica/033n2est,Corrientes del PRD en Guerrero toman sede e impiden sesión del Consejo Electivo. ,NO,No,Sí,Sí
03/04/2012,http://www.jornada.unam.mx/2012/04/03/estados/027n1est,Afectados por presa Picachos inician plantón; exigen liberar a 46 detenidos,SÍ,Sí,Sí,Sí
04/04/2012,http://www.jornada.unam.mx/2012/04/04/capital/030n1cap,"La CFE se niega a ajustar cobros excesivos, pese al alud de quejas",NO,Sí,No,No
05/04/2012,http://www.jornada.unam.mx/2012/04/05/capital/032n3cap,"Asesinan en México a 3.6 niños al día, en promedio: Sipinna. ",NO,No,Sí,Sí
05/04/2012,http://www.jornada.unam.mx/2012/04/05/estados/027n1est,Antimotines desalojan a estudiantes del Tecnológico de Macuspana: 27 detenidos,SÍ,Sí,Sí,Sí
06/04/2012,http://www.jornada.unam.mx/2012/04/06/estados/026n2est,Protestan lugareños por construcción de muelle privado en Puerto Marqués,SÍ,Sí,Sí,Sí
06/04/2012,http://www.jornada.unam.mx/2012/04/06/estados/027n2est,"Rescatan al alcalde de Ecatzingo, retenido por pobladores inconformes por falta de agua",SÍ,Sí,Sí,Sí
06/04/2012,http://www.jornada.unam.mx/2012/04/06/estados/027n5est,Atropellamiento causa bloqueo en Champotón,SÍ,Sí,Sí,Sí
06/04/2012,http://www.jornada.unam.mx/2012/04/06/opinion/006o1pol,Astillero,NO,Sí,No,No
06/04/2012,http://www.jornada.unam.mx/2012/04/06/politica/014n5pol,Exigen justicia padres de niños fallecidos en la guardería ABC,NO,Sí,No,No
07/04/2012,http://www.jornada.unam.mx/2012/04/07/estados/024n1est,Familias denuncian viacrucis de mineros de Pasta de Conchos,SÍ,Sí,Sí,Sí
07/04/2012,http://www.jornada.unam.mx/2012/04/07/estados/024n2est,Activistas de NL y Guanajuato escenifican el dolor de la gente por los malos gobiernos,SÍ,Sí,No,No
07/04/2012,http://www.jornada.unam.mx/2012/04/07/estados/025n3est,Afectados por la presa Picachos instalan plantón; exigen liberar a cuatro líderes,SÍ,Sí,Sí,Sí
07/04/2012,http://www.jornada.unam.mx/2012/04/07/estados/026n1est,"Lanzan petardos contra sede del PRI, en rechazo a candidaturas",SÍ,Sí,Sí,No
08/04/2012,http://www.jornada.unam.mx/2012/04/08/estados/023n2est,Desplazados por Picachos: el gobierno de Sinaloa criminaliza la lucha social,SÍ,Sí,Sí,Sí
08/04/2012,http://www.jornada.unam.mx/2012/04/08/sociedad/030n1soc,Seguro Popular: cobertura universal pero no disponibilidad de servicios. ,SÍ,No,No,Sí
09/04/2012,http://www.jornada.unam.mx/2012/04/09/estados/029n1est,Protestan perredistas por imposición de candidatos en la Costa Grande,SÍ,Sí,No,Sí
09/04/2012,http://www.jornada.unam.mx/2012/04/09/politica/013n2pol,Marchan en Chiapas contra la violencia,NO,Sí,Sí,Sí
10/04/2012,http://www.jornada.unam.mx/2012/04/10/estados/026n1est,Juez niega libertad bajo fianza a 4 comuneros afectados por Picachos,SÍ,Sí,Sí,No
10/04/2012,http://www.jornada.unam.mx/2012/04/10/estados/026n2est,Campesinos de la UNTA protestan por falta de apoyos ofrecidos,SÍ,Sí,Sí,Sí
10/04/2012,http://www.jornada.unam.mx/2012/04/10/estados/027n1est,Exigen limpiar la elección de candidatos del PRD-Guerrero. ,NO,No,Sí,Sí
11/04/2012,http://www.jornada.unam.mx/2012/04/11/cultura/030n6est,Protestan por presencia policiaca en Coyuca,SÍ,No,No,No
11/04/2012,http://www.jornada.unam.mx/2012/04/11/estados/030n2est,BC: protestan pescadores por topes a captura,SÍ,Sí,No,Sí
11/04/2012,http://www.jornada.unam.mx/2012/04/11/estados/031n1est,Arrestan a funcionarios de Chalco cuando retiraban propaganda de López Obrador. ,SÍ,No,Sí,Sí
11/04/2012,http://www.jornada.unam.mx/2012/04/11/politica/014n2pol,Campesinos exigen más apoyos en al menos cinco entidades del país,SÍ,Sí,Sí,Sí
11/04/2012,http://www.jornada.unam.mx/2012/04/11/politica/014n3pol,Plantón permanente en Gobernación,NO,Sí,Sí,Sí
11/04/2012,http://www.jornada.unam.mx/2012/04/11/sociedad/037n1soc,Colgada de una cruz demanda que le devuelvan a su hija,SÍ,Sí,Sí,Sí
12/04/2012,http://www.jornada.unam.mx/2012/04/12/estados/032n1est,Protestan campesinos de Chihuahua por falta de apoyos gubernamentales,SÍ,Sí,No,Sí
12/04/2012,http://www.jornada.unam.mx/2012/04/12/estados/033n2est,Se enfrentan ejidatarios de dos comunidades de Campeche por presunta invasión de tierras,SÍ,Sí,Sí,Sí
12/04/2012,http://www.jornada.unam.mx/2012/04/12/estados/033n3est,Afectados por presa Picachos endurecen plantón en Mazatlán,NO,Sí,No,No
12/04/2012,http://www.jornada.unam.mx/2012/04/12/sociedad/040n1soc,Estaremos en todos los actos de Vázquez Mota: SME,SÍ,Sí,Sí,Sí
12/04/2012,http://www.jornada.unam.mx/2012/04/12/sociedad/041n1soc,"Cuco se convirtió en la presa política más joven del mundo , señala su padre. ",SÍ,No,Sí,Sí
12/04/2012,http://www.jornada.unam.mx/2012/04/12/sociedad/041n2soc,Pretende declararse en quiebra maquiladora Estrella: obreros. ,SÍ,No,No,Sí
13/04/2012,http://www.jornada.unam.mx/2012/04/13/estados/032n2est,Miles repudian reformas al artículo 24 constitucional en Veracruz y Guanajuato,SÍ,Sí,Sí,Sí
13/04/2012,http://www.jornada.unam.mx/2012/04/13/estados/032n4est,Detienen a líder de la OPEZ en Chiapas. ,NO,No,No,Sí
13/04/2012,http://www.jornada.unam.mx/2012/04/13/estados/032n5est,Exigen al IEEG ley sobre usos y costumbres,SÍ,Sí,Sí,Sí
13/04/2012,http://www.jornada.unam.mx/2012/04/13/politica/018a1pol,La persistente lucha de los cucapá. ,NO,No,Sí,Sí
13/04/2012,http://www.jornada.unam.mx/2012/04/13/sociedad/039n2soc,Existe “imposibilidad jurídica” para entregar a Cuco a sus padres: PGJE,NO,Sí,Sí,No
13/04/2012,http://www.jornada.unam.mx/2012/04/13/sociedad/039n3soc,Piden de nueva cuenta extinguir autorización otorgada a Cabo Cortés,NO,Sí,No,No
14/04/2012,http://www.jornada.unam.mx/2012/04/14/economia/024n1eco,Plantea el juez prescindir de Tenedora K en caso Mexicana,SÍ,Sí,No,No
14/04/2012,http://www.jornada.unam.mx/2012/04/14/estados/028n6est,Maestros piden aprobar gasto para la Unison,SÍ,Sí,No,No
14/04/2012,http://www.jornada.unam.mx/2012/04/14/estados/029n1est,"Cabildo: “en vías de cumplirse”, revocación de licencia a la alcaldesa de Guadalupe, NL",NO,Sí,No,Sí
15/04/2012,http://www.jornada.unam.mx/2012/04/15/capital/031n2cap,Rechazan parquímetros en la Anzures,NO,Sí,Sí,No
15/04/2012,http://www.jornada.unam.mx/2012/04/15/estados/027n1est,"Atacan sede del PRD opositores a candidato en Macuspana, Tabasco",SÍ,Sí,No,Sí
15/04/2012,http://www.jornada.unam.mx/2012/04/15/estados/028n5est,Indígenas trasladan plantón a San Cristóbal,NO,Sí,No,No
15/04/2012,http://www.jornada.unam.mx/2012/04/15/politica/014n1pol,Marchan menores por la paz,SÍ,Sí,Sí,Sí
16/04/2012,http://www.jornada.unam.mx/2012/04/16/capital/032n1cap,Activistas exigen renuncia de Óscar Guerra al frente del Info DF,SÍ,Sí,Sí,Sí
16/04/2012,http://www.jornada.unam.mx/2012/04/16/capital/033n2cap,Granaderos repliegan protesta vecinal,SÍ,Sí,No,No
16/04/2012,http://www.jornada.unam.mx/2012/04/16/cultura/a11n1cul,"Rinden homenaje y exigen justicia para Guillermo Fernández, asesinado en Toluca",SÍ,Sí,No,No
16/04/2012,http://www.jornada.unam.mx/2012/04/16/estados/031n1est,ONG pide justicia para activista aprehendido por presunto asalto,NO,Sí,No,No
17/04/2012,http://www.jornada.unam.mx/2012/04/17/capital/035n1cap,Ultimátum de CFE a morosos: no se detendrán los cortes de luz,SÍ,Sí,Sí,Sí
17/04/2012,http://www.jornada.unam.mx/2012/04/17/capital/037n1cap,Zafarrancho entre granaderos y priístas en avenida Insurgentes,SÍ,Sí,No,Sí
17/04/2012,http://www.jornada.unam.mx/2012/04/17/estados/032n1est,Revelan anomalías en manejo de $250 millones para afectados por Picachos,SÍ,Sí,Sí,Sí
17/04/2012,http://www.jornada.unam.mx/2012/04/17/estados/033n2est,Protestan contra religiosos por cierre de escuelas en Nueva Jerusalén,SÍ,Sí,Sí,Sí
17/04/2012,http://www.jornada.unam.mx/2012/04/17/estados/034n1est,Transportistas exigen pago de $2 millones por rencarpetamiento,SÍ,Sí,No,Sí
17/04/2012,http://www.jornada.unam.mx/2012/04/17/estados/034n3est,"En Aguascalientes, demandan probar suicidio de detenido",SÍ,Sí,Sí,Sí
17/04/2012,http://www.jornada.unam.mx/2012/04/17/estados/034n6est,Protestan por gastos en operación a El Coqueto,SÍ,Sí,No,Sí
17/04/2012,http://www.jornada.unam.mx/2012/04/17/sociedad/040n2soc,ONG protestan por ley defectuosa que deja en la indefensión a niños,SÍ,Sí,Sí,Sí
18/04/2012,http://www.jornada.unam.mx/2012/04/18/estados/038n2est,Revocan dos matrimonios gays en QR. ,NO,No,Sí,No
18/04/2012,http://www.jornada.unam.mx/2012/04/18/estados/038n6est,Piden prohibir corridas de toros en Coahuila,SÍ,Sí,Sí,No
18/04/2012,http://www.jornada.unam.mx/2012/04/18/estados/039n3est,Sindicato acusa favoritismo en la elección de rector de la UAZ,SÍ,Sí,No,No
18/04/2012,http://www.jornada.unam.mx/2012/04/18/estados/039n5est,Líder indígena preso se declara en “rebeldía”,NO,Sí,No,No
18/04/2012,http://www.jornada.unam.mx/2012/04/18/sociedad/046n4soc,Piden aclarar asesinato de Cariño y Jaakkola,NO,Sí,Sí,No
19/04/2012,http://www.jornada.unam.mx/2012/04/19/estados/036n5est,Docentes de Unison exigen más recursos,SÍ,Sí,No,No
19/04/2012,http://www.jornada.unam.mx/2012/04/19/estados/036n6est,Piden reabrir escuelas de Michoacán,NO,Sí,No,Sí
19/04/2012,http://www.jornada.unam.mx/2012/04/19/estados/037n1est,Van 23 mujeres muertas en Juárez en 12 meses; siguen los feminicidios en Morelos,SÍ,Sí,Sí,Sí
19/04/2012,http://www.jornada.unam.mx/2012/04/19/sociedad/043n1soc,"En el sector informal, 55.3% de empleos creados con Calderón. ",SÍ,No,Sí,Sí
20/04/2012,http://www.jornada.unam.mx/2012/04/20/capital/043n4cap,Seguridad pública,SÍ,Sí,Sí,Sí
20/04/2012,http://www.jornada.unam.mx/2012/04/20/estados/038n1est,Toman en Acapulco oficinas del PRI por reparto de candidaturas,SÍ,Sí,No,Sí
20/04/2012,http://www.jornada.unam.mx/2012/04/20/estados/038n2est,Colocan académicos la bandera rojinegra en la Universidad de Sonora,SÍ,Sí,Sí,Sí
20/04/2012,http://www.jornada.unam.mx/2012/04/20/estados/038n5est,Exigen a Adame Castillo reparar carretera,NO,Sí,No,No
20/04/2012,http://www.jornada.unam.mx/2012/04/20/sociedad/044n1soc,Espera la CEM aval del Papa para difundir protocolo antipederastia,SÍ,Sí,Sí,No
21/04/2012,http://www.jornada.unam.mx/2012/04/21/capital/035n1cap,Protestan vecinos de la Miguel Hidalgo por obra vial para tienda,SÍ,Sí,Sí,Sí
21/04/2012,http://www.jornada.unam.mx/2012/04/21/politica/016n2pol,Exigen a legisladores despenalizar el consumo de la mariguana,NO,Sí,Sí,Sí
22/04/2012,http://www.jornada.unam.mx/2012/04/22/capital/035n1cap,Clausura Protección Civil la obra inmobiliaria de Millet 39. ,SÍ,No,Sí,Sí
22/04/2012,http://www.jornada.unam.mx/2012/04/22/opinion/005n1pol,"Los Piloncillos, otro capítulo negro de la Brigada Blanca en Guerrero",NO,Sí,No,No
22/04/2012,http://www.jornada.unam.mx/2012/04/22/politica/010n1pol,Rechazar la evaluación de maestros nos condena a la mediocridad: Vázquez Mota. ,NO,No,Sí,No
22/04/2012,http://www.jornada.unam.mx/2012/04/22/politica/018n1pol,Edomex: albazo legislativo sobre libertad religiosa,SÍ,Sí,Sí,Sí
22/04/2012,http://www.jornada.unam.mx/2012/04/22/politica/020n1pol,Exigen la liberación de 5 cubanos presos en EU. ,NO,No,No,Sí
23/04/2012,http://www.jornada.unam.mx/2012/04/23/capital/033n1cap,"Por “error” de la delegación, se anuló clausura de obra en Millet 39",SÍ,Sí,Sí,Sí
23/04/2012,http://www.jornada.unam.mx/2012/04/23/estados/031n2est,Huelga de hambre y plantón enfrenta alcaldesa de Tulum,SÍ,Sí,Sí,Sí
23/04/2012,http://www.jornada.unam.mx/2012/04/23/estados/031n4est,Luto en Guadalajara a 20 años de explosiones,SÍ,Sí,No,No
23/04/2012,http://www.jornada.unam.mx/2012/04/23/politica/014n1pol,Pistoleros atacan a dos policías en Tlaquepaque; uno de los agentes murió. ,NO,No,Sí,No
24/04/2012,http://www.jornada.unam.mx/2012/04/24/capital/033n1cap,Recibe gran respaldo ciudadano el plantón vecinal en Millet 39,SÍ,Sí,Sí,Sí
24/04/2012,http://www.jornada.unam.mx/2012/04/24/estados/029n4est,Protestan por violación a su derecho de huelga,SÍ,Sí,No,Sí
24/04/2012,http://www.jornada.unam.mx/2012/04/24/estados/030n2est,Tribus del PRD en Edomex realizarán 2 consejos este día,SÍ,Sí,No,No
25/04/2012,http://www.jornada.unam.mx/2012/04/25/estados/034n1est,Cué convoca a los oaxaqueños a un “acuerdo de gobernabilidad”,SÍ,Sí,Sí,Sí
26/04/2012,http://www.jornada.unam.mx/2012/04/26/estados/038n1est,Maestros bloquearon Autopista del Sol; repudian pacto por la educación,SÍ,Sí,Sí,Sí
27/04/2012,http://www.jornada.unam.mx/2012/04/27/capital/044n4cap,Congelan en la ALDF ley anticorridas de toros,SÍ,Sí,Sí,Sí
27/04/2012,http://www.jornada.unam.mx/2012/04/27/estados/037n1est,Protestan transportistas en 25 estados por aumentos a precios de combustibles,SÍ,Sí,Sí,Sí
27/04/2012,http://www.jornada.unam.mx/2012/04/27/estados/040n1est,Desalojan asentamiento irregular en zona ecológica de Texcoco,SÍ,Sí,Sí,Sí
27/04/2012,http://www.jornada.unam.mx/2012/04/27/estados/040n3est,Arremeten contra plantón de estudiantes en Villahermosa,NO,Sí,Sí,Sí
27/04/2012,http://www.jornada.unam.mx/2012/04/27/politica/020n2pol,"Si no pescamos no existimos, reclamo de indígenas cucapás a la Sagarpa. ",SÍ,No,Sí,Sí
27/04/2012,http://www.jornada.unam.mx/2012/04/27/politica/021n3pol,Encuentro de anticapitalistas en Cherán,NO,Sí,Sí,No
27/04/2012,http://www.jornada.unam.mx/2012/04/27/sociedad/046n3soc,ONG: alarman los índices de contaminantes en el país,SÍ,Sí,Sí,Sí
28/04/2012,http://www.jornada.unam.mx/2012/04/28/estados/030n2est,Morelia: siguen bloqueos y toma de vehículos,SÍ,Sí,Sí,Sí
28/04/2012,http://www.jornada.unam.mx/2012/04/28/opinion/003n3pol,Fracasan las negociaciones,NO,Sí,No,Sí
28/04/2012,http://www.jornada.unam.mx/2012/04/28/politica/002n1pol,Traileros colapsan por segundo día accesos al DF,SÍ,Sí,Sí,Sí
29/04/2012,http://www.jornada.unam.mx/2012/04/29/estados/027n1est,Desalojan albergues estudiantiles en Morelia; 7 lesionados y 194 detenidos,SÍ,Sí,Sí,Sí
30/04/2012,http://www.jornada.unam.mx/2012/04/30/estados/028n1est,Morelia: marchan estudiantes para exigir liberación de 174 detenidos,SÍ,Sí,Sí,Sí
30/04/2012,http://www.jornada.unam.mx/2012/04/30/politica/007n2pol,La muerte de la comunicadora es un atentado a la libertad de expresión: SG,NO,Sí,Sí,Sí
30/04/2012,http://www.jornada.unam.mx/2012/04/30/politica/016n2pol,Entrega Conapesca a indígenas cucapás guías de pesca para corvina golfina,NO,Sí,No,No
