Nombre,Estado,Ubicación,Sitio web
NOTIMEX,Agrupación nacional,Agrupación nacional,www.notimex.gob.mx
ORGANIZACIÓN EDITORIAL MEXICANA,Agrupación nacional,Agrupación nacional,Oem.com.mx
REPORTE INDIGO,Periodico digital,Sin ubicación,www.reporteindigo.com
EL SIGLO,Periodico digital,Sin ubicación,http://elsiglo.mx/
PROCESO,Periodico digital,Sin ubicación,Proceso.com.mx
ARISTEGUI NOTICIAS,Periodico digital,Sin ubicación,Aristeguinoticias.com
SIN EMBARGO,Periodico digital,Sin ubicación,Sinembargo.mx
TELEVISA,Periodico digital,Sin ubicación,Televisa.com
SDP NOTICIAS,Periodico digital,Sin ubicación,Sdpnoticias.com
EXPANSIÓN,Periodico digital,Sin ubicación,Expansion.mx
CHILANGO,Periodico digital,Sin ubicación,Chilango.com
ANIMAL POLÍTICO,Periodico digital,Sin ubicación,Animalpolitico.com
RADIO FÓRMULA,Periodico digital,Sin ubicación,Radioformula.com.mx
LA SILLA ROTA,Periodico digital,Sin ubicación,Lasillarota.com
LÓPEZ DORIGA,Periodico digital,Sin ubicación,Lopezdoriga.com
NAYARIT EN LÍNEA,Periodico digital,Sin ubicación,http://www.nayaritenlinea.mx/
NOTICIAS MVS,Periodico digital,Sin ubicación,Noticiasmvs.com
HIDROCÁLIDO,Aguascalientes,Aguascalientes,www.hidrocalidodigital.com
EL SOL DEL CENTRO,Aguascalientes,Aguascalientes,www.elsoldelcentro.com.mx
EL HERALDO,Aguascalientes,Aguascalientes,www.heraldo.mx
LA JORNADA AGUASCALIENTES,Aguascalientes,Aguascalientes,www.lja.mx
AGUAS,Aguascalientes,Aguascalientes,www.aguasdigital.com
PÁGINA 24,Aguascalientes,Aguascalientes,www.pagina24.com.mx
EL MEXICANO,Baja California Norte,Tijuana,www.el-mexicano.com.mx
FRONTERA,Baja California Norte,Tijuana,www.frontera.info
EL SOL DEL TIJUANA,Baja California Norte,Tijuana,www.elsoldetijuana.com.mx
LA VOZ DE LA FRONTERA,Baja California Norte,Mexicali,www.lavozdelafrontera.com.mx
LA CRÓNICA,Baja California Norte,Mexicali,www.lacronica.com
MONITOR ECONÓMICO,Baja California Norte,Mexicali,monitoreconomico.org
EL VIGÍA,Baja California Norte,Ensenada,www.elvigia.net
EL SUDCALIFORNIANO,Baja california Sur,La Paz,www.elsudcaliforniano.com.m...
EL INDEPENDIENTE,Baja california Sur,La Paz,www.diarioelindependiente.m...
TRIBUNA DE LOS CABOS,Baja california Sur,San José del Cabo,www.tribunadeloscabos.com.m...
LA I CAMPECHE,Campeche,Campeche,www.laisureste.com/noticias...
NOVEDADES CAMPECHE,Campeche,Campeche,www.novedadescampeche.com.m...
EL SUR DE CAMPECHE,Campeche,Campeche,www.elsur.mx
CRÓNICA DE CAMPECHE,Campeche,Campeche,www.cronicacampeche.com
CAMPECHE HOY,Campeche,Campeche,www.campechehoy.com.mx
CUARTO PODER,Chiapas,Tuxtla Gutiérrez,www.cuartopoder.mx
DIARIO DE CHIAPAS,Chiapas,Tuxtla Gutiérrez,www.diariodechiapas.com
CHIAPAS HOY,Chiapas,Tuxtla Gutiérrez,www.chiapashoy.com.mx
EL HERALDO DE CHIAPAS,Chiapas,Tuxtla Gutiérrez,www.elheraldodechiapas.com....
LA VOZ DEL SURESTE,Chiapas,Tuxtla Gutiérrez,www.diariolavozdelsureste.c...
EXPRESO,Chiapas,Tuxtla Gutiérrez,www.expresochiapas.com
EL SOL DE CHIAPAS,Chiapas,Tuxtla Gutiérrez,www.elsoldechiapas.com
PÉNDULO DE CHIAPAS,Chiapas,Tuxtla Gutiérrez,www.pendulodechiapas.com.mx
ES! DIARIO POPULAR,Chiapas,Tuxtla Gutiérrez,www.esdiario.com.mx
DE FACTO,Chiapas,Tuxtla Gutiérrez,www.defacto.com.mx
EL SIETE,Chiapas,Tuxtla Gutiérrez,www.sie7edechiapas.com
EL VESPERTINO,Chiapas,Tuxtla Gutiérrez,www.periodicoelvespertino.c...
EL ORBE,Chiapas,Tapachula,www.elorbe.com
NOTICIAS DE CHIAPAS,Chiapas,Tapachula,www.noticiasdechiapas.com.m...
DIARIO DEL SUR,Chiapas,Tapachula,www.diariodelsur.com.mx
EL FRONTERIZO DEL SUR,Chiapas,Comitán de Domínguez,www.fsur.com.mx
NOTICIAS A DIARIO,Chiapas,Comitán de Domínguez,www.diariodecomitan.com.mx
ACONTECER CHIAPANECO,Chiapas,San Cristóbal de las Casas,www.diarioacontecerchiapane...
DIARIO DE PALENQUE,Chiapas,Palenque,www.diariodepalenque.com.mx
LA VOZ DEL NORTE,Chiapas,Pichucalco,www.lavozdelnorte.mx
ECOS DEL VALLE,Chiapas,Cintalapa,www.ecosdelvalle.com
EL DIARIO DE JUÁREZ,Chihuahua,Ciudad Juárez,www.diario.mx
JUAREZ HOY,Chihuahua,Ciudad Juárez,www.juarezhoy.com.mx
NORTE,Chihuahua,Ciudad Juárez,www.nortedigital.mx
EL MEXICANO,Chihuahua,Ciudad Juárez,www.periodicoelmexicano.com...
EL HERALDO DE CHIHUAHUA,Chihuahua,Chihuahua,www.elheraldodechihuahua.co...
EL DIARIO DE CHIHUAHUA,Chihuahua,Chihuahua,www.eldiariodechihuahua.mx
EL PUEBLO,Chihuahua,Chihuahua,www.elpueblo.com
EL SOL DE PARRAL,Chihuahua,Hidalgo del Parral,www.elsoldeparral.com.mx
EL MONITOR,Chihuahua,Hidalgo del Parral,www.elmonitorparral.com
LA PRENSA,Ciudad de México,Ciudad de México,www.la-prensa.com.mx
EL UNIVERSAL,Ciudad de México,Ciudad de México,www.eluniversal.com.mx
LA JORNADA,Ciudad de México,Ciudad de México,www.jornada.unam.mx
UNO MÁS UNO,Ciudad de México,Ciudad de México,www.unomasuno.com.mx
MILENIO,Ciudad de México,Ciudad de México,www.milenio.com
LA CRÓNICA DE HOY,Ciudad de México,Ciudad de México,www.cronica.com.mx
LA RAZÓN,Ciudad de México,Ciudad de México,www.razon.com.mx
IMPACTO,Ciudad de México,Ciudad de México,www.impacto.mx
EL SOL DE MÉXICO,Ciudad de México,Ciudad de México,www.elsoldemexico.com.mx
EXCELSIOR,Ciudad de México,Ciudad de México,www.excelsior.com.mx
EL PUNTO CRÍTICO,Ciudad de México,Ciudad de México,www.elpuntocritico.com
MILED MÉXICO,Ciudad de México,Ciudad de México,www.miled.com
MÁS POR MÁS,Ciudad de México,Ciudad de México,www.maspormas.com.m
PUBLIMETRO,Ciudad de México,Ciudad de México,www.publimetro.com.mx
24 HORAS,Ciudad de México,Ciudad de México,www.24-horas.mx
DIARIO DF,Ciudad de México,Ciudad de México,www.diariodf.com.mx
EL FINANCIERO,Ciudad de México,Ciudad de México,www.elfinanciero.com.mx
EL ECONOMISTA,Ciudad de México,Ciudad de México,www.economista.com.mx
AGENCIA DE NOTICIAS EL UNIVERSAL,Ciudad de México,Ciudad de México,Agenciaeluniversal.mx
ZÓCALO,Coahuila,Saltillo,www.zocalo.com.mx
EL GUARDIÁN,Coahuila,Saltillo,www.elguardian.com.mx
VANGUARDIA,Coahuila,Saltillo,www.vanguardia.com.mx
EL DIARIO DE COAHUILA,Coahuila,Saltillo,www.eldiariodecoahuila.com....
EL HERALDO DE SALTILLO,Coahuila,Saltillo,www.elheraldodesaltillo.mx
CAPITAL COAHUILA,Coahuila,Saltillo,www.capitalcoahuila.com.mx
EL SIGLO,Coahuila,Torreón,www.elsiglodetorreon.com.mx
NOTICIAS DEL SOL DE LA LAGUNA,Coahuila,Torreón,www.noticiasdelsoldelalagun...
EXTRA DE LA LAGUNA,Coahuila,Torreón,www.extradelalaguna.com.mx
LA VOZ,Coahuila,Monclova,www.periodicolavoz.com.mx
LA PRENSA DE MONCLOVA,Coahuila,Monclova,www.laprensademonclova.com
EL TIEMPO,Coahuila,Monclova,www.periodicoeltiempo.mx
LA VOZ DE LA LAGUNA,Coahuila,San Pedro de las Colonias,www.lavozdelalaguna.com.mx
EL PIONERO,Coahuila,Ramos Arizpe,www.periodicoelpionero.mx
EL MUNDO DESDE COLIMA,Colima,Colima,www.elmundodesdecolima.mx
EL COMENTARIO,Colima,Colima,elcomentario.ucol.mx
EL SOL DE DURANGO,Durango,Durango,www.elsoldedurango.com.mx
EL SIGLO,Durango,Durango,www.elsiglodedurango.com.mx
VICTORIA,Durango,Durango,www.periodicovictoria.mx
CONTACTO HOY,Durango,Durango,www.contactohoy.com.mx
LA VOZ DE DURANGO,Durango,Durango,www.lavozdgo.com
CONTEXTO,Durango,Durango,www.contextodedurango.com.m...
VERTEBRACIÓN,Durango,Durango,www.vertebracion.com
HOJAS POLÍTICAS,Durango,Durango,www.analisispolitico.com.mx
A.M.,Guanajuato,León,www.am.com.mx
EL HERALDO,Guanajuato,León,www.heraldodelbajio.com
EL SOL DE LEÓN,Guanajuato,León,www.elsoldeleon.com.mx
EL SOL DE IRAPUATO,Guanajuato,Irapuato,www.elsoldeirapuato.com.mx
EL SOL DEL BAJÍO,Guanajuato,Celaya,www.elsoldelbajio.com.mx
CORREO,Guanajuato,Guanajuato,www.periodicocorreo.com.mx
EL SOL DE SALAMANCA,Guanajuato,Salamanca,www.elsoldesalamanca.com.mx
EL SUR,Guerrero,Acapulco,www.suracapulco.mx
LA JORNADA GUERRERO,Guerrero,Acapulco,www.lajornadaguerrero.com.m...
EL SOL DE ACAPULCO,Guerrero,Acapulco,www.elsoldeacapulco.com.mx
DIARIO 17,Guerrero,Acapulco,www.diario17.com.mx
ENFOQUE INFORMATIVO,Guerrero,Acapulco,www.enfoqueinformativo.mx
PUEBLO,Guerrero,Chilpancingo,www.pueblo-guerrero.com
DIARIO DE GUERRERO,Guerrero,Chilpancingo,www.diariodeguerrero.com.mx
VÉRTICE,Guerrero,Chilpancingo,www.verticediario.com
EL SOL DE CHILPANCINGO,Guerrero,Chilpancingo,elsoldechilpancingo.mx
LA CRÓNICA,Guerrero,Chilpancingo,lacronicavespertinodechilpa...
EL VOCERO DE GUERRERO,Guerrero,Chilpancingo,www.vocerodeguerrero.com
DIARIO 21,Guerrero,Iguala,www.diario21.com.mx
REDES DEL SUR,Guerrero,Iguala,www.redesdelsur.com.mx
EL DIARIO DE LA TARDE,Guerrero,Iguala,eldiariodelatarde1.blogspot...
TIEMPO SURIANO,Guerrero,Iguala,tiemposuriano.blogspot.mx
DESPERTAR DE LA COSTA,Guerrero,Zihuatanejo,www.despertardelacosta.info
EL FORO,Guerrero,Taxco de Alarcón,www.elforodetaxco.com
DIARIO DE TAXCO GUERRERO,Guerrero,Taxco de Alarcón,www.diariodetaxco.com
EL DEBATE DE LOS CALENTANOS,Guerrero,Cd. Altamirano,www.eldebatedeloscalentanos...
