URL noticia,Palabra clave hallada,Periódico,Fecha de publicación,Título,Estado involucrado,Sección en el diario
http://www.24-horas.mx/caravana-por-ayotzinapa-va-por-nueva-busqueda-de-los-43-en-iguala/,caravana,24Horas,03/03/2016,Caravana por Ayotzinapa va por nueva búsqueda de los 43 en ...,Guerrero,
http://www.24-horas.mx/maestros-de-la-seccion-22-marchan-en-oaxaca-contra-visita-de-pena-nieto/,protesta,24Horas,03/03/2016,"En medio de protesta de la CNTE, Peña Nieto inaugura central ...",Oaxaca,
http://www.24-horas.mx/mineros-estallan-huelga-en-arcelormittla-en-michoacan-por-presuntos-despidos-injustificados/,huelga,24Horas,04/03/2016,Mineros estallan huelga en ArcelorMittal en Michoacán por ...,Michoacán,
http://www.24-horas.mx/desquician-transportistas-con-bloqueos-en-vialidades-de-huixquilucan-hay-caos-vial/,bloqueo,24Horas,07/03/2016,Desquician transportistas con bloqueos en vialidades de ...,Estado de México,
http://www.24-horas.mx/cnte-marcha-del-auditorio-nacional-a-segob/,marcha,24Horas,11/03/2016,Marcha de la CNTE llega a Segob; se restablece circulación en ...,Ciudad de México,
http://www.24-horas.mx/padres-de-desaparecidos-en-tierra-blanca-continuaran-con-planton-caso-se-esta-enfriando-acusan/,planton,24Horas,11/03/2016,Padres de desaparecidos en Tierra Blanca continuarán con plantón ...,Veracruz,
http://www.24-horas.mx/mirreyes-avientan-un-bmw-a-manifestantes-en-primaria-de-chilpancingo/,manifestacion,24Horas,14/03/2016,Mirreyes avientan un BMW a manifestantes en primaria de ...,Guerrero,
http://www.24-horas.mx/movilizaciones-magisteriales-en-oaxaca-no-afectaron-a-escuelas-confirma-sep/,movilizacion,24Horas,14/03/2016,Movilizaciones magisteriales en Oaxaca no afectaron a escuelas ...,Oaxaca,
http://www.24-horas.mx/seccion-22-marcha-en-oaxaca-exigen-que-companeros-desaparecidos-sean-presentados-con-vida/,marcha,24Horas,18/03/2016,Sección 22 marcha en Oaxaca; exigen que compañeros ...,Oaxaca,
http://www.24-horas.mx/campesinos-bloquean-carretera-federal-en-iguala-exigen-granos-y-ayudas/,bloqueo,24Horas,28/03/2016,Campesinos bloquean hora y media carretera federal en Iguala ...,Guerrero,
http://www.24-horas.mx/bloqueo-carretero-en-uruapan-derivo-en-enfrentamiento-hay-seis-detenidos-y-dos-heridos/,bloqueo,24Horas,29/03/2016,Bloqueo carretero en Uruapan derivó en enfrentamiento; hay seis ...,Michoacán,
http://aristeguinoticias.com/0403/mexico/aparecen-hermanas-de-el-chapo-en-penal-otros-inician-huelga-de-hambre/,huelga,Aristegui,04/03/2016,Aparecen hermanas de 'El Chapo' en penal; otros inician huelga de ...,Estado de México,
http://aristeguinoticias.com/0703/mexico/en-plena-iglesia-de-oaxaca-protestan-contra-proteccion-de-sacerdote-pederasta-fotos/,protesta,Aristegui,07/03/2016,"En plena Iglesia de Oaxaca, protestan contra protección de ...",Oaxaca,
http://aristeguinoticias.com/1703/mexico/protestan-afuera-de-pgr-a-6-anos-del-asesinato-de-dos-estudiantes-del-tec/,protesta,Aristegui,17/03/2016,"Protestan afuera de PGR, a 6 años del asesinato de dos estudiantes ...",Ciudad de México,
http://aristeguinoticias.com/2303/mexico/protestan-trans-contra-xochitl-y-arne-fotos/,protesta,Aristegui,23/03/2016,Protestan 'trans' contra Xóchitl y Arne (Fotos) - Aristegui Noticias,Ciudad de México,
http://yucatan.com.mx/yucatan/ciudadanos-y-comunidades-yucatan/protestan-en-hunxectaman,protesta,DiarioDeYucatan,01/03/2016,Protestan en Hunxectamán - El Diario de Yucatán,Yucatán,
http://yucatan.com.mx/mexico/huelga-por-el-chapo,huelga,DiarioDeYucatan,05/03/2016,Huelga por “El Chapo”,Estado de México,
http://yucatan.com.mx/yucatan/planton-por-agresiones,planton,DiarioDeYucatan,05/03/2016,Plantón por agresiones,Yucatán,
http://yucatan.com.mx/yucatan/rinde-frutos-la-protesta,protesta,DiarioDeYucatan,06/03/2016,Rinde frutos la protesta,Yucatán,
http://yucatan.com.mx/merida/medio-ambiente-merida/nueva-protesta-por-las-corridas,protesta,DiarioDeYucatan,07/03/2016,Nueva protesta por las corridas,Yucatán,
http://yucatan.com.mx/yucatan/hunucma/bloquean-acceso-a-sisal,bloqueo,DiarioDeYucatan,07/03/2016,Bloquean acceso a Sisal - El Diario de Yucatán,Yucatán,
http://yucatan.com.mx/mexico/accidentes-mexico/trifulca-en-un-planton-contra-uber-en-jalisco,planton,DiarioDeYucatan,09/03/2016,Trifulca en un plantón contra Uber en Jalisco,Jalisco,
http://yucatan.com.mx/yucatan/ticul/protesta-estudiantil-4,protesta,DiarioDeYucatan,10/03/2016,Protesta estudiantil,Yucatán,
http://yucatan.com.mx/yucatan/motul/protestan-en-motul-2,protesta,DiarioDeYucatan,10/03/2016,El Diario de Yucatán,Yucatán,
http://yucatan.com.mx/yucatan/tzucacab/manifestacion-de-orgullo,manifestacion,DiarioDeYucatan,11/03/2016,Manifestación de orgullo - El Diario de Yucatán,Yucatán,
http://yucatan.com.mx/yucatan/perjuicios-por-otro-bloqueo,bloqueo,DiarioDeYucatan,13/03/2016,Perjuicios por otro bloqueo,Yucatán,
http://yucatan.com.mx/merida/ciudadanos/un-insolito-planton-en-la-plaza-grande,planton,DiarioDeYucatan,17/03/2016,Un insólito plantón en la Plaza Grande,Yucatán,
http://yucatan.com.mx/merida/economia-merida/protestan-por-caso-crecicuentas,protesta,DiarioDeYucatan,18/03/2016,Protestan por caso Crecicuentas,Yucatán,
https://www.debate.com.mx/mazatlan/Trabajadores-del-CIAD-se-declaran-en-huelga--20160301-0033.html,huelga,ElDebate,01/03/2016,Trabajadores del CIAD se declaran en huelga,Sonora,mazatlan
https://www.debate.com.mx/mazatlan/Estalla-huelga-del-sindicato-20160302-0030.html,huelga,ElDebate,02/03/2016,Felton recoge la basura por la huelga del sindicato,Sinaloa,mazatlan
https://www.debate.com.mx/guasave/Protestan-trabajadores-del-Hospital-General-20160303-0069.html,protesta,ElDebate,03/03/2016,Protestan trabajadores del Hospital General,Sinaloa,
https://www.debate.com.mx/mexico/Huelga-de-hambre-por-El-Chapo-20160304-0136.html,huelga,ElDebate,04/03/2016,Huelga de hambre por El Chapo,Estado de México,
https://www.debate.com.mx/guasave/Sindicos-municipales-protestan-en-presidencia-20160304-0065.html,protesta,ElDebate,04/03/2016,Síndicos municipales protestan en presidencia,Sinaloa,
https://www.debate.com.mx/guasave/Protestan-y-exigen-que--Leyson-les-de-la-cara-20160304-0043.html,protesta,ElDebate,04/03/2016,Protestan y exigen que Leyson les de la cara,Sinaloa,
https://www.debate.com.mx/losmochis/Aliancistas-bloquean-acceso-de-concretera-20160309-0209.html,bloqueo,ElDebate,09/03/2016,Aliancistas bloquean acceso de concretera,Sinaloa,losmochis
https://www.debate.com.mx/sinaola/Camioneros-bloquean-la-carretera-de-Matatan-Palmarito-20160314-0075.html,bloqueo,ElDebate,14/03/2016,Camioneros bloquean la carretera de Matatán-Palmarito,Sinaloa,
https://www.debate.com.mx/sinaola/Camioneros-siguen-en-protesta-en-Chilillos-20160316-0095.html,protesta,ElDebate,16/03/2016,Camioneros siguen en protesta en Chilillos,Sinaloa,
https://www.debate.com.mx/losmochis/Jubilados-protestan-y-exigen-su-fideicomiso-20160317-0133.html,protesta,ElDebate,17/03/2016,Jubilados protestan y exigen su fideicomiso,Sinaloa,losmochis
https://www.debate.com.mx/mazatlan/Maestros-protestan-en-el-malecon--20160319-0060.html,protesta,ElDebate,19/03/2016,Maestros protestan en el malecón,Sinaloa,mazatlan
https://www.debate.com.mx/guasave/Sindicato-realiza-planton-y-se-retira-tras-firmar-acuerdos-20160331-0016.html,planton,ElDebate,31/03/2016,Sindicato realiza plantón y se retira tras firmar acuerdos,Sinaloa,
https://www.debate.com.mx/losmochis/Protestan-empleados-del-Cecjude-de-Felipe-Angeles-20160331-0025.html,protesta,ElDebate,31/03/2016,Protestan empleados del Cecjude de Felipe Ángeles,Sinaloa,losmochis
http://diario.mx/Nacional/2016-03-01_fdad8ea7/con-protesta-tarahumaras-exigen-derechos/,protesta,ElDiarioDeJuarez,01/03/2016,Con protesta tarahumaras exigen derechos,Ciudad de México,nacional
http://diario.mx/Nacional/2016-03-02_afeec62d/cierran-via-por-desabasto-de-maiz-en-chiapas/,bloqueo_vialidad,ElDiarioDeJuarez,02/03/2016,Cierran vía por desabasto de maíz en Chiapas,Chiapas,nacional
http://diario.mx/Estado/2016-03-03_680d4b49/bloquean-campesinos-calles-frente-a-palacio-de-gobierno/,bloqueo,ElDiarioDeJuarez,03/03/2016,Bloquean campesinos calles frente a Palacio de Gobierno,Chihuahua,estado
http://diario.mx/Nacional/2016-03-03_df7eb1cf/bloquean-via-por-visita-de-pena-a-oaxaca/,bloqueo,ElDiarioDeJuarez,03/03/2016,Bloquean vía por visita de Peña a Oaxaca,Oaxaca,nacional
http://diario.mx/Nacional/2016-03-07_7ee47203/bloquean-transportistas-vias-en-edomex/,bloqueo,ElDiarioDeJuarez,07/03/2016,Bloquean transportistas vías en Edomex,Estado de México,nacional
http://diario.mx/Nacional/2016-03-07_84fae746/termina-huelga-en-universidad-michoacana/,huelga,ElDiarioDeJuarez,07/03/2016,Termina huelga en Universidad Michoacana,Michoacán,nacional
http://diario.mx/Nacional/2016-03-08_1c74bfe6/protestan-por-feminicidios-en-queretaro/,protesta,ElDiarioDeJuarez,08/03/2016,Protestan por feminicidios en Querétaro,Querétaro,nacional
http://diario.mx/Estado/2016-03-09_8933b4e3/mantienen-campesinos-planton-pese-al-frio/,planton,ElDiarioDeJuarez,09/03/2016,"Mantienen campesinos plantón, pese al frío",Chihuahua,estado
http://diario.mx/Nacional/2016-03-10_4e0be19d/protesta-cnte_michoacan-contra-despidos/,protesta,ElDiarioDeJuarez,10/03/2016,Protesta CNTE-Michoacán contra despidos,Michoacán,nacional
http://diario.mx/Local/2016-03-14_34577460/trasladan-a-hospital-a-maestra-en-huelga-de-hambre/,huelga,ElDiarioDeJuarez,14/03/2016,Trasladan a hospital a maestra en huelga de hambre,Chihuahua,local
http://diario.mx/Nacional/2016-03-14_4502be78/cita-cnte-a-protesta-en-casa-del-gobernador-de-oaxaca/,protesta,ElDiarioDeJuarez,14/03/2016,Cita CNTE a protesta en casa del gobernador de Oaxaca,Oaxaca,nacional
http://diario.mx/Local/2016-03-15_81d67009/desde-hospital-continua-maestra-huelga-de-hambre/,huelga,ElDiarioDeJuarez,15/03/2016,"Desde hospital, continúa maestra huelga de hambre",Chihuahua,local
http://diario.mx/Local/2016-03-15_567c03ac/protestan-padres-de-familia-contra-director-de-primaria/,protesta,ElDiarioDeJuarez,15/03/2016,Protestan padres de familia contra director de primaria,Chihuahua,local
http://diario.mx/Local/2016-03-16_470b95e6/reinstalaran-a-profesora-tras-huelga/,huelga,ElDiarioDeJuarez,16/03/2016,Reinstalarán a profesora tras huelga,Chihuahua,local
http://diario.mx/Local/2016-03-16_ed7d9085/protestan-maestros-por-retencion-de-sueldos/,protesta,ElDiarioDeJuarez,16/03/2016,Protestan maestros por retención de sueldos,Chihuahua,local
http://diario.mx/Local/2016-03-17_f178ef43/se-agrava-salud-de-maestra-en-huelga/,huelga,ElDiarioDeJuarez,17/03/2016,Se agrava salud de maestra en huelga,Chihuahua,local
http://diario.mx/Local/2016-03-17_5f99ee9d/protestan-periodistas-por-citatorio-a-reportero/,protesta,ElDiarioDeJuarez,17/03/2016,Protestan periodistas por citatorio a reportero,Chihuahua,local
