¿Noticia reportada por ambos medios?,Sitio web,Fecha de publicación,Diario,Seccion,Subsección,Título,Concordancias halladas en el texto,Estados referidos,Versión
,http://www.jornada.unam.mx/ultimas/2017/04/24/en-aguascalientes-exigen-penalizacion-del-acoso-callejero-y-el-feminicidio,24/04/2017,LaJornada,ultimas,estados,"En Aguascalientes, exigen penalización del acoso callejero y el feminicidio",manifestación | marcha | toma de lugares | demanda,Aguascalientes/,digital
,http://www.eluniversal.com.mx/articulo/estados/2017/04/5/rinde-informe-procurador-de-justicia-de-bcs,05/04/2017,ElUniversal,estados,,Rinde informe procurador de Justicia de BCS,manifestación | protesta,Baja California Sur/,digital
,http://www.eluniversal.com.mx/articulo/estados/2017/04/18/diputados-de-bcs-piden-aclarar-homicidio-de-periodista,18/04/2017,ElUniversal,estados,,Diputados de BCS piden aclarar homicidio de periodista,manifestación | protesta | demanda,Baja California Sur/,digital
,http://www.eluniversal.com.mx/articulo/estados/2017/04/27/nuno-busca-fortalecer-escuelas-con-docentes-bilingues,27/04/2017,ElUniversal,estados,,Nuño busca fortalecer escuelas con docentes bilingües,manifestación,Baja California Sur/,digital
,http://www.jornada.unam.mx/2017/04/01/politica/004n3pol,01/04/2017,LaJornada,politica,,Comunicadores de Chiapas exigen justicia. ,mitin | manifestación | protesta,Chiapas/,impresa
,http://www.eluniversal.com.mx/articulo/estados/2017/04/1/protestan-por-muerte-de-tres-periodistas,01/04/2017,ElUniversal,estados,,Protestan por muerte de tres periodistas,protesta | manifestación,Chiapas/,digital
,http://www.eluniversal.com.mx/articulo/estados/2017/04/3/asaltan-25-turistas-alemanes-en-chiapas,03/04/2017,ElUniversal,estados,,Asaltan a 25 turistas alemanes en Chiapas,bloqueo,Chiapas/,digital
,http://www.eluniversal.com.mx/articulo/estados/2017/04/3/campesinos-realizaran-serie-de-bloqueos-y-un-planton-en-chiapas,03/04/2017,ElUniversal,estados,,Campesinos realizarán serie de bloqueos y un plantón en Chiapas,plantón | bloqueo | campamento | movilización,Chiapas/,digital
Sí,http://www.eluniversal.com.mx/articulo/estados/2017/04/3/trabajadores-realizan-huelga-de-hambre-en-hospital-regional-en-chiapas,03/04/2017,ElUniversal,estados,,Trabajadores realizan huelga de hambre en hospital regional en Chiapas,toma de lugares | plantón | huelga | protesta | huelga de hambre,Chiapas/,digital
,http://www.jornada.unam.mx/ultimas/2017/04/03/enfermeras-inician-huelga-de-hambre-en-tuxtla-gutierrez,03/04/2017,LaJornada,ultimas,estados,Enfermeras inician huelga de hambre en Tuxtla Gutiérrez,protesta | plantón | huelga,Chiapas/,digital
