Protestas conjuntas,Nombre,Abreviacion,Seccion,Tipo1,Tipo2,Tipos,Nombre corto,Aparece en RFOSC,Tipo de organización,Forma organizativa,Alcance,Figura jurídica,Precisión del domicilio determinado,Alcance_Estatal,Domicilio,Geolocalización,Sitios web de referencia,lat,lon,Actores adherentes / Aliados,Redes en que participa,Descripción / Historia,Misión / Objetivos
1,Acción para el Bienestar Ciudadano con Derechos Humanos y Democracia,ABC,,DD,,DD,ABC,No,Discreta,Civil,local,Asociación Civil,Municipial,Estado de México,"Huixquilucan, Estado de México","19.3711756,-99.3569296,13z",https://www.facebook.com/pg/accionparael.ciudadano/about/?ref=page_internal | https://twitter.com/cerosangre | https://www.lostubos.com/facebook-medio-para-localizar-desaparecidos/,19.3711756,-99.3569296,,Espacio Social para el Diálogo Estratégico | Frente Amplio Social Mexiquense,,
2,Acción Urgente para Defensores de Derechos Humanos,ACUDDEH,,DD,,DD,ACUDDEH,No,Discreta,Civil,local,Sociedad Civil,Municipial,CDMX,"Calzada General Pedro Anaya 65 Colonia San Diego Churubusco,  Delegación Coyoacán México D.F. C.P 04120","19.3567971,-99.1486679,17z",http://www.rosalux.org.mx/node/69,19.3567971,-99.1486679,Comité Cerezo México,Red Nacional de Organismos Civiles de Derechos Humanos,La organización de la sociedad civil Acción Urgente para los Defensores de los Derechos Humanos (ACUDDEH) ha sido fundada en este año 2010 por la organización de derechos humanos Comité Cerezo México.,Generación de una cultura de la prevención del riesgo y la seguridad en los defensores de derechos humanos.
1,Alconsumidor,,,CS,,CS,Alconsumidor,Sí,Discreta,Urbano-gremial,local,Asociación Civil,Sede determinada,CDMX,"Calle Montecito #38, Piso 28, Despacho 12, Col. Nápoles  México, D.F. C.P. 03810","19.3939959,-99.1761546,17z",http://www.alconsumidor.org/,19.3939959,-99.1761546,,,"Somos una Asociación Civil sin fines de lucro, independiente de cualquier dependencia gubernamental o interés privado, conformada por ciudadanos consumidores al igual que tú. Tratamos de poner a tu alcance nuestra experiencia para que tus contrataciones de telecomunicaciones, gas, luz, gasolina, televisión de paga y servicios de Internet no se conviertan en auténticas historias de horror. Nuestra labor está en denunciar los abusos de los proveedores de esos servicios como el inicio de cualquier solución de conflictos, alertar a los consumidores potenciales para que no sean presa de abusos o prácticas comerciales perjudiciales o poco éticas así como informarte de particularidades de un servicio o bien, de las opciones que tienes en su caso.","Asesorados por consumidores que además son abogados y especialistas en bienes y servicios en lo tocante a telecomunicaciones, electricidad, combustibles como el gas, televisión de paga y servicios de Internet, nosotros sabemos que este servicio es invaluable para ti y el universo de consumidores que lograrán frenar prácticas abusivas en la medida en que los proveedores tengan consecuencias desfavorables por su conducta irresponsable. Para que esto ocurra, tus quejas tienen que ser vistas y difundidas. En principio nuestra labor no sólo es gratuita sino de carácter preventivo: te enseñamos hábitos de consumo sanos y cómo elegir los mejores bienes y servicios. La orientación es fundamental al momento de crear a un consumidor consciente."
2,Alianza Binacional Braceroproa,ABB,,MIG,,MIG,ABB,Sí,Discreta,Civil,nacional,Asociación Civil,Sede determinada,Nacional,"Ciudad de México, Delegación Cuauhtémoc, Unidad Habitacional Tlatelolco, Av. Guerrero, 380-E","19.4545869,-99.1478449,17z",http://alianzabracerosproa.blogspot.es/,19.4545869,-99.1478449,,Frente Nacional de organizaciones Braceroproa,,Pago a ex braceros
2,Alianza Campesina del Noroeste,ALCANO,,CA,,CA,ALCANO,Sí,Matriz,Económico-gremial,nacional,Asociación Civil,Sede determinada,Nacional,"California y Guadalupe Victoria #711, Col. Centro, Cd. Obregón, Sonora","27.4819264,-109.9474767,17z",http://www.paginasprodigy.com/interchaps/ | https://www.facebook.com/pg/Alianza-Campesina-del-Noroeste-AC-179912465480655/about/?ref=page_internal | https://www.facebook.com/alcanochiapas/ | http://www.fao.org/docrep/007/AD727S/AD727S11.htm,27.4819264,-109.9474767,,,,
1,Alianza de Trabajadores de la Salud y Empleados Públicos,ATSEP,,SPB,,SPB,ATSEP,No,Discreta,Económico-gremial,local,Desconocida,Sede determinada,CDMX,"Av. 5 de Mayo No. 29, Despacho 303, Centro Histórico. CP 06002, Delegación Cuauhtémoc, ciudad de México","19.4341665,-99.1398967,17z",https://www.facebook.com/pg/AlianzaDeTrabajadoresDeLaSaludYEmpleadosPublicos/about/?ref=page_internal | http://www.forolaboral.com.mx/Educacion/Solic%20Apoyo%20Desp%20y%20Amparo.pdf,19.4341665,-99.1398967,,,"Hace 35 años el gobierno reprimio a los trabajadores del hospital general de mexico, seccion 14 del sntsa, en su lucha por el derecho a la salud y la democracia sindical.","Por el derecho a la salud la seguridad social, el empleo y la democracia"
7,Alianza de Tranviarios de México,ATM,,TA,,TA,ATM,No,Discreta,Económico-gremial,nacional,Desconocida,Sede determinada,Nacional,"Calle Rafael Lucio 29, Colonia Doctores, Ciudad de México","19.4249461,-99.1525167,18z",https://www.facebook.com/pages/Alianza-De-Tranviarios-De-Mexico/251281434921200 | http://tranviariosofficial.blogspot.mx/,19.4249461,-99.1525167,,,,
2,Alianza Mexicana de Organizaciones de Transportistas,AMOTAC,,TA,,TA,AMOTAC,No,Matriz,Económico-gremial,nacional,Asociación Civil,Sede determinada,Nacional,"Cerro viejo 4 Col. Vista alegre Queretaro, Qro","20.5756694,-100.388243,17z",http://amotac.org.mx/,20.5756694,-100.388243,,,"Rafael Ortiz Pacheco, Después de haber recorrido Diversas organizaciones de transporte en el país (FRENCUM, UNATRAFER,CONATRAN Y CANACAR, ENTRE OTRAS). Decepcionado por la falta de liderazgos, surge la idea para  fundar a principios del año 2003, la AMOTAC. Nace con el apoyo y la colaboración  de transportistas del Estado de Yucatán. El día 29 de Septiembre del año 2003, se entrega para su registro, mismo que fue negado.","La innovación es base fundamental en el desarrollo de las estrategias implementadas, para la creación de nuevas aportaciones que beneficien al sector de transporte. AMOTAC, con compromiso firme y tangente en beneficio de los agremiados."
1,Alianza Nacional por el Derecho a Decidir,ANDAR,,2P,DD,2P / DD,ANDAR,No,Paraguas,Civil,nacional,Desconocida,Sede determinada,Nacional,"06600 Juárez, Abraham González 48, Juárez, 06600 Ciudad de México, CDMX","19.4297549,-99.1543145,17z",https://www.facebook.com/pg/alianza.andar/about/?ref=page_internal | http://www.andar.org.mx/quienes-somos/,19.4297549,-99.1543145,"Católicas por el Derecho a Decidir | Equidad de Género: Ciudadanía, Trabajo y Familia (Equidad) | Grupo de Información en Reproducción Elegida (GIRE) | Ipas México | Population Council, México.", ,"La Alianza Nacional por el Derecho a Decidir, ANDAR, se fundó en el año 2002. Somos cinco organizaciones líderes en el campo de los derechos sexuales y reproductivos, cada una desde una mirada distinta","El objetivo principal de ANDAR es brindar un acompañamiento a aquellas mujeres que están pensando interrumpir un embarazo por violencia sexual. Considerando que la situación en la que se encuentran estas mujeres es sumamente delicada y vulnerable, esta debe ser tratada con seriedad y respeto."
1,Alternativa de Participación,AP,,AP,,AP,AP,No,Discreta,Urbano-gremial,nacional,Asociación Civil,Sede determinada,Nacional,"Insurgentes Norte, No. 59, Edf. 1, Piso 5; C.P.6359; Cuauhtémoc; Ciudad de México","19.4277215,-99.1632639,17z",https://www.facebook.com/Alternativa-De-Participacion-AC-1522407264662783/ | http://pri.org.mx/somospri/Nuestropartido/DirectoriosNacionales.aspx?y=4 | http://www.bcsnoticias.mx/asociaciones-del-pri-en-bcs-realizan-marcha-por-la-paz-aseguran-no-es-electoral/,19.4277215,-99.1632639,,Organizaciones adherentes al PRI,De filiación priista,
