Id,C1x2FechaEvento,C4x1Posicion,C4x2DemText,DemandaFormateada,C4x3ClasificacionLAOMS,C4x3x1SubclasificacionLAOMS,Clasificación en tesis,Ayotzinapa,Reforma educativa
C-001,16/10/2012,A favor,Cese a la represión en Michoacán (por el desalojo y detención de 172 normalistas); contra la criminalización de los estudiantes.,[a favor] cese a la represión en michoacán (por el desalojo y detención de 172 normalistas); contra la criminalización de los estudiantes,1. Abusos de autoridades en protestas,1. Desalojos violentos,Represión de protestas,0,0
C-002,20/10/2012,A favor,Creación de mecanismos nacionales y regionales para la búsqueda inmediata de todos los desaparecidos.,[a favor] creación de mecanismos nacionales y regionales para la búsqueda inmediata de todos los desaparecidos,6. Protección de derechos de grupos vulnerables,5. Migrantes,Migrantes,0,0
C-002,20/10/2012,A favor,Coordinación efectiva entre órganos de investigación  para garantizar una efectiva indagatoria de acuerdo con criterios de la Corte Interamericana de Derechos Humanos.,[a favor] coordinación efectiva entre órganos de investigación para garantizar una efectiva indagatoria de acuerdo con criterios de la corte interamericana de derechos humanos,4. Justicia,1. Acciones u omisiones de funcionarios públicos – 7. Eficiencia y eficacia de las autoridades de procuración de justicia,Procuración de justicia,0,0
C-002,20/10/2012,A favor,Conformación de un banco de datos forense nacional y regional de desaparecidos y restos sin identificar.,[a favor] conformación de un banco de datos forense nacional y regional de desaparecidos y restos sin identificar,2. Bienes y servicios (especie) / efectivo y presupuesto (dinero),5. Seguridad pública.,Recursos (seguridad),0,0
C-003,22/10/2012,A favor,investigar paradero de desaparecidos,[a favor] investigar paradero de desaparecidos,4. Justicia,1. Acciones u omisiones de funcionarios públicos - 5. Desapariciones forzadas,Desapariciones forzadas,0,0
C-003,22/10/2012,A favor,creación de fiscalías especiales,[a favor] creación de fiscalías especiales,7. Reformas a leyes y políticas gubernamentales,3. No constitucionales,Reformas (no const.),0,0
C-004,24/10/2012,A favor,"que cumpla a los ejidatarios el convenio de arrendamiento firmado por ambas partes en 2008, mismo que con altanería y soberbia la empresa se ha negado a cumplir","[a favor] que cumpla a los ejidatarios el convenio de arrendamiento firmado por ambas partes en 2008, mismo que con altanería y soberbia la empresa se ha negado a cumplir","8. Defensa del espacio, los recursos y la cultura","2. Del territorio, espacio público y patrimonio cultural",Defensa nacional,0,0
C-004,24/10/2012,A favor,diálogo con la empresa,[a favor] diálogo con la empresa,10. Transparencia y negociación,1. Apertura de mesas de negociación,Mesa de negociación,0,0
C-004,24/10/2012,A favor,"que gobiernos federal, estatal de Durango y municipal de Bermejillo retiren de inmediato la turba de golpeadores y obliguen a la empresa a negociar la solución del conflicto","[a favor] que gobiernos federal, estatal de durango y municipal de bermejillo retiren de inmediato la turba de golpeadores y obliguen a la empresa a negociar la solución del conflicto",4. Justicia,1. Acciones u omisiones de funcionarios públicos – 7. Eficiencia y eficacia de las autoridades de procuración de justicia,Procuración de justicia,0,0
C-004,24/10/2012,A favor,Consorcio Excellon Resources reconozca su libertad para adherirse al sindicato nacional de mineros,[a favor] consorcio excellon resources reconozca su libertad para adherirse al sindicato nacional de mineros,5. Laborales,8. Protestas por conflictos intra e intersindicales,Sindicales,0,0
