exactitud,EPs,lat,lon,Estado,Municipio,Lugar,Bloqueo,Plantón,Marcha,Mitin,Paro de labores,#Repertorios,Repertorio_de_referencia,Repertorio_de_referencia_,Repertorio_de_referencia2
sí,1,14.9087797,-92.2619619,Chiapas,Tapachula,Palacio Municipal,0,0,1,1,0,2,Marcha,Marcha,Marcha
sí,1,14.9643407,-92.1480991,Chiapas,Tapachula,Puente internacional México-Guatemala,1,0,0,0,0,1,Bloqueo,Bloqueo,Bloqueo
sí,1,15.6601183,-92.1410463,Chiapas,Frontera Comalapa,Palacio Municipal,0,0,1,0,0,2,Marcha,Marcha,Marcha
sí,1,15.6670914,-92.0074124,Chiapas,Frontera Comalapa,Ciudad Cuauhtémoc,1,0,0,0,0,1,Bloqueo,Bloqueo,Bloqueo
sí,1,16.1826728,-95.196836,Oaxaca,Salina Cruz,CFE,1,0,0,0,0,1,Bloqueo,Bloqueo,Bloqueo
sí,1,16.2985318,-95.0925292,Oaxaca,Juchitán de Zaragoza,agencia municipal en comunidad Álvaro Obregón,0,0,1,1,0,2,Marcha,Marcha,Marcha
sí,1,16.4331109,-95.0224686,Oaxaca,Juchitán de Zaragoza,Plaza principal,0,0,1,0,0,1,Marcha,Marcha,Marcha
sí,1,16.4331211,-95.0238479,Oaxaca,Juchitán de Zaragoza,Alcaldía,0,0,1,1,0,2,Marcha,Marcha,Marcha
sí,1,16.4653879,-94.8310674,Oaxaca,Unión Hidalgo,San Dionisio del Mar,1,0,0,0,0,1,Bloqueo,Bloqueo,Bloqueo
sí,1,16.5591657,-93.0253547,Chiapas,Tuxtla Gutiérrez,Aeropuerto Internacional,1,1,0,0,1,3,Bloqueo,Bloqueo,Bloqueo
sí,1,16.5642575,-93.011654,Chiapas,Chiapa de Corzo,carretera de acceso al aeropuerto internacional Ángel Albino Corzo,1,0,0,0,0,1,Bloqueo,Bloqueo,Bloqueo
sí,1,16.7030067,-92.6106963,Chiapas,San Cristóbal de las Casas,Carretera Tuxtla Gutiérrez-Ocozocoautla,1,0,0,0,0,3,Bloqueo,Bloqueo,Bloqueo
sí,1,16.7218606,-92.6533072,Chiapas,Tuxtla Gutiérrez,Carreteras y autopista México-Guatemala,0,0,0,0,1,2,Paro de labores,Paro de labores,Paro de labores
sí,1,16.7307492,-93.0117998,Chiapas,San Cristóbal de las Casas,caseta carretera San Cristobal- Tuxtla Gutiérrez,0,0,0,0,1,3,Paro de labores,Paro de labores,Paro de labores
sí,4,16.7307536,-93.0091676,Chiapas,Tuxtla Gutiérrez,carretera de cuota San Cristóbal-Tuxtla Gutiérrez,1,0,0,0,0,1,Varios,Varios,Varios
sí,2,16.73487,-92.6368555,Chiapas,San Cristóbal de las Casas,CNDH,1,1,0,0,0,2,Varios,Varios,Varios
sí,2,16.7375831,-92.6399627,Chiapas,San Cristóbal de las Casas,Plaza Catedral,0,0,1,0,0,2,Varios,Varios,Varios
sí,1,16.7380761,-93.1237184,Chiapas,Tuxtla Gutiérrez,Comisión Nacional para el Desarrollo de los Pueblos Indígenas (CDI),0,0,0,0,0,1,Otro,Toma de instalaciones,Toma de instalaciones
sí,3,16.7395477,-93.0699073,Chiapas,Tuxtla Gutiérrez,"cuatro plazas comerciales, oficinas públicas y la caseta de cobro de la carretera que comunica a San Cristóbal con la capital del estado",0,1,0,0,1,4,Varios,Varios,Varios
sí,1,16.7411268,-93.0355504,Chiapas,Tuxtla Gutiérrez,Puente Internacional de Talisman,1,0,0,0,1,2,Bloqueo,Bloqueo,Bloqueo
sí,2,16.7431693,-93.1370976,Chiapas,Tuxtla Gutiérrez,Plaza comercial Cristal,0,0,0,0,1,2,Varios,Varios,Varios
sí,1,16.7462353,-93.1645893,Chiapas,Tuxtla Gutiérrez,Plaza de la Libertad,0,1,1,0,1,3,Plantón,Plantón,Plantón
sí,1,16.7522919,-93.1099015,Chiapas,Tuxtla Gutiérrez,Av. Central,0,0,1,0,1,2,Marcha,Marcha,Marcha
sí,3,16.752442,-93.1160658,Chiapas,Tuxtla Gutiérrez,Congreso,0,1,0,0,1,3,Varios,Varios,Varios
sí,1,16.752661,-93.1087107,Chiapas,Tuxtla Gutiérrez,parque 5 de Mayo,1,1,1,0,1,5,Bloqueo,Bloqueo,Bloqueo
sí,1,16.7546334,-93.1113281,Chiapas,Tuxtla Gutiérrez,Hotel Safari,0,0,1,0,0,6,Marcha,Marcha,Marcha
sí,3,16.7546382,-93.1156204,Chiapas,Tuxtla Gutiérrez,Parque Central,0,1,1,0,0,2,Varios,Varios,Varios
sí,2,16.7547256,-93.1155358,Chiapas,Tuxtla Gutiérrez,centro,0,1,1,0,1,3,Varios,Varios,Varios
sí,1,16.7547697,-93.080745,Chiapas,Tuxtla Gutiérrez,Torre Chiapas,0,0,0,0,1,2,Paro de labores,Paro de labores,Paro de labores
