id,URL noticia,C1x1FechaPeriodico,Eps_relacionados,sección,Día,versión,serie,concordancia_semantica_en_búsqueda,titulo,estados_referidos,autores,imagen_principal,info_publicacion,Referencias Ayotzinapa,Referencias Reforma educativa,Referencias Peña Nieto,Referencias Campesinos,Referencias CNTE,Referencias relevantes Ayotzinapa,Referencias relevantes Reforma educativa
N_01,http://www.jornada.unam.mx/2012/10/17/estados/037n1est,17/10/2012,1,estados,Miércoles,Web,,protesta | manifestación | marcha,No habrá marcha atrás en reformas a escuelas formadoras de docentes: Córdova Villalobos. ,Oaxaca | ,De la Redacción. ,http://www.jornada.com.mx//2012/10/17/fotos/037n1est-1.jpg,"Miércoles 17 de octubre de 2012, p. 37. ",0,0,0,0,1,0,0
N_02,http://www.jornada.unam.mx/2012/10/21/politica/003n1pol,21/10/2012,1,politica,Domingo,Web,Al rescate de Indocumentados. ,caravana,Urge estrategia regional de protección: Raúl Vera. ,Coahuila | ,Leopoldo Ramos. ,http://www.jornada.com.mx//2012/10/21/fotos/003n1pol-1.jpg,"Domingo 21 de octubre de 2012, p. 3. ",0,0,0,0,0,0,0
N_03,http://www.jornada.unam.mx/2012/10/23/politica/012n1pol,23/10/2012,1,politica,Martes,Web,,movilización | marcha | caravana,"Madres de desaparecidos: negligentes e ineptas, las autoridades mexicanas. ",San Luis Potosí | ,Vicente Juárez. ,http://www.jornada.com.mx//2012/10/23/fotos/012n1pol-1.jpg,"Martes 23 de octubre de 2012, p. 12. ",0,0,0,0,0,0,0
N_04,http://www.jornada.unam.mx/2012/10/25/politica/021n1pol,25/10/2012,1,politica,Jueves,Web,,plantón | campamento | manifestación,Denuncian violento desalojo en La Platosa. ,Durango | ,Patricia Muñoz Ríos. ,,"Jueves 25 de octubre de 2012, p. 21. ",0,0,0,1,0,0,0
N_05,http://www.jornada.unam.mx/2012/10/27/politica/012n1pol,27/10/2012,1,politica,Sábado,Web,,caravana,Llaman a Peña Nieto a frenar los abusos en contra de migrantes centroamericanos. ,Estado de México | ,Eirinet Gómez y Silvia Chávez. ,http://www.jornada.com.mx//2012/10/27/fotos/012n1pol-1.jpg,"Sábado 27 de octubre de 2012, p. 12. ",0,0,1,0,0,0,0
N_06,http://www.jornada.unam.mx/2012/10/28/politica/003n1pol,28/10/2012,1,politica,Domingo,Web,En busca del sueño americano. ,movilización | en_demanda | caravana,"Autoridades, cómplices de la desaparición de miles de indocumentados, señalan activistas. ",Nuevo León | ,Fernando Camacho Servín. ,http://www.jornada.com.mx//2012/10/28/fotos/003n1pol-1.jpg,"Domingo 28 de octubre de 2012, p. 3. ",0,0,1,0,0,0,0
N_07,http://www.jornada.unam.mx/2012/10/29/opinion/012n1pol,29/10/2012,1,politica,Lunes,Web,,lanzamiento_proyectiles | caravana,"En las muertes de mexicanos o extranjeros, el gobierno no puede evadir su responsabilidad. ",Ciudad de México | ,Ciro Pérez. ,http://www.jornada.com.mx//2012/10/29/fotos/012n1pol-1.jpg,"Lunes 29 de octubre de 2012, p. 12. ",0,0,0,0,0,0,0
N_08,http://www.jornada.unam.mx/2012/10/29/politica/013n1pol,29/10/2012,1,politica,Lunes,Web,,mitin | movilización | toma_de_edificios/casetas | marcha,Evitarán en la sierra de Puebla los planes mineros y construcción de hidroelectricas. ,Puebla | ,Rosa Rojas. ,,"Lunes 29 de octubre de 2012, p. 13. ",0,0,0,0,0,0,0
N_09,http://www.jornada.unam.mx/2012/10/31/sociedad/041n3soc,31/10/2012,1,sociedad,Miércoles,Web,,protesta | lanzamiento_proyectiles | manifestación | bloqueo,Protestan por el despojo de tierras. ,Hidalgo | ,Jorge A. Pérez y Octavio Vélez. ,,"Miércoles 31 de octubre de 2012, p. 41. ",0,0,0,0,0,0,0
N_10,http://www.jornada.unam.mx/2012/11/01/estados/037n2est,01/11/2012,1,estados,Jueves,Web,,protesta | manifestación,Barzonistas protestan en la embajada de Canadá. ,Chihuahua | ,Matilde Pérez U.. ,,"Jueves 1º de noviembre de 2012, p. 37. ",0,0,0,1,0,0,0
N_11,http://www.jornada.unam.mx/2012/11/01/politica/015n1pol,01/11/2012,1,politica,Jueves,Web,,movilización | en_demanda,Organizaciones gremiales se unen contra la reforma laboral. ,,Patricia Muñoz Ríos. ,,"Jueves 1º de noviembre de 2012, p. 15. ",0,0,0,1,0,0,0
N_12,http://www.jornada.unam.mx/2012/11/06/sociedad/042n2soc,06/11/2012,1,sociedad,Martes,Web,,manifestación,Acordonan la Sagarpa por el cierre de consulta. ,Chihuahua | Sinaloa | Sonora | Tamaulipas | ,De la Redacción. ,http://www.jornada.com.mx//2012/11/06/fotos/042n2soc-1.jpg,"Martes 6 de noviembre de 2012, p. 42. ",0,0,0,1,0,0,0
