Id,Abusos de policías y militares,Condiciones de trabajo,Contra funcionarios electos,Contratos colectivos,Corrupción,Defensa nacional,Desapariciones forzadas,Despidos,Elecciones,Estabilidad laboral,Fuentes de empleo,Homicidios,Impartición de justicia,Impuestos,Indígenas,Infomación verídica,Jubilaciones,Medio ambiente,Mesa de negociación,Migrantes,Mujeres,Permisos,Presos políticos,Prestaciones,Procuración de justicia,Recursos (consumidores),Recursos (educación),Recursos (rurales),Recursos (salud),Recursos (seguridad),Recursos (urbanos),Reformas (constitucionales),Reformas (no const.),Regulación del mercado,Rendición de cuentas (derechos),Rendición de cuentas (informativas),Represión de protestas,Salarios,Sindicales,Solidaridad con extranjeros,Trabajo de autoridades
C-002,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,,,,,,,,,,,
C-003,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
C-004,,,,,,1,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,,
C-006,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
C-008,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,
C-009,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
C-010,,,,,,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,
C-017,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,1,,,,,1,,,,
C-019,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
C-021,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
C-024,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
C-028,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
C-035,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
C-038,,,,,,,,1,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,
C-039,,,,,,1,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,
C-040,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,
C-043,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,1,,1
C-045,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
C-060,,,1,,1,,,,,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,1,1,1,,
C-061,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,
C-062,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,
C-063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,
C-068,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,
C-069,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,1,,1,,1,,,,
C-070,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
C-071,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,
C-072,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
C-074,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,1,,1,,,,
C-076,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,1,,,2,,,1,,1,,,,
C-078,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
C-081,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,
C-084,,,,,,,,,,,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,
C-089,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,
C-093,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,
C-094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,1
C-095,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,
C-096,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,,,,,,
C-097,,,,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,1,,,,
C-098,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,
C-101,,,,,,1,,,,,,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,
C-102,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
C-103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,
C-104,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,4,,,,,,,,,
C-105,,,1,1,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,
C-108,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,
C-109,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,1,,,
C-111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,
C-113,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,
C-117,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,1,,
C-118,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,1,,
C-119,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
C-120,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
