name,tipo,centralidad_grado,centralidad_eigen,centralidad_intermediacion,centralidad_cercania,componente
AA,actor,1,3.03463221987615E-18,0,2,1
AARC,actor,1,6.88836060766566E-07,0,234.6884920635,2
ABB,actor,2,0.0007457958,0.1111111111,282.3174603175,2
ABC,actor,1,5.6963263221996E-07,0,220.6119047619,2
ACUDDEH,actor,2,0.0001809362,505.8503906991,312.894047619,2
ACVictorianoPol,actor,1,3.52266592726188E-18,0,5.0833333333,3
AEMAC,actor,1,3.37358555405889E-05,0,283.2293650794,2
AHMLFMYMY,actor,1,0.0001665215,0,304.5607142857,2
AI,actor,3,0.0001940927,7474.923930001,316.5357142857,2
AJTEAM,actor,4,9.72023218343433E-06,71.4311275266,262.3007936508,2
ALCANO,actor,2,1.13058334972291E-05,0.1,263.4722222222,2
Alconsumidor,actor,1,2.08886697009093E-06,0,256.2694444444,2
AMDJ,actor,1,0.0001835064,0,309.4785714286,2
AMOTAC,actor,2,7.54779576447572E-06,0.125,256.625,2
AMUCSS,actor,2,0.0001868862,4793.2390403396,334.7904761905,2
ANAD,actor,3,0.0001279433,4658.6689740598,320.1055555556,2
ANDAR,actor,1,5.69259039486921E-07,0,220.080952381,2
Anonymous,actor,1,2.87320612248648E-06,0,235.3206349206,2
ANP,actor,8,0.0046381334,94.3237581506,330.8761904762,2
ANUEE,actor,4,0.0008148386,4562.5086486904,328.1523809524,2
AP,actor,1,3.38540017930369E-18,0,5.0833333333,3
APIITDTT,actor,3,0.0003468597,1676.0371151349,290.6670634921,2
APPG,actor,1,0.0001631249,0,300.6702380952,2
ASPA,actor,7,0.0042079607,5736.8254276499,366.419047619,2
ASSA,actor,4,0.003453127,2815.1410004271,352.5607142857,2
ATEM,actor,1,0.0003524108,0,302.1452380952,2
ATM,actor,7,0.0045429276,3761.860549509,365.9678571429,2
ATSEP,actor,1,3.34937939872998E-05,0,279.7845238095,2
Barzón,actor,37,0.0006127534,72482.5494195041,393.0321428571,2
BaseMagAgs,actor,1,0.0009109963,0,282.5396825397,2
BLADP,actor,2,0.0001663846,1443.7600590727,304.9801587302,2
BlqUrbanoPopular,actor,1,0.000003218,0,219.8902958153,2
Brigada68,actor,1,8.05489402211723E-05,0,288.5115079365,2
CAM,actor,2,1.13058334972277E-05,0.1,263.4722222222,2
CAP,actor,6,0.0002049081,17431.5155559737,341.0535714286,2
CAPR,actor,1,0.000000609,0,232.8781746032,2
CaravanaAyotzinapa,actor,1,2.0163793934221E-06,0,224.3079365079,2
CaravanaMadreTierra,actor,1,3.23859728720556E-06,0,250.7571428571,2
CaravanaYaquis,actor,1,9.52811207847953E-05,0,277.9238095238,2
CausaIndígena,actor,1,7.3323617642458E-06,0,275.2011904762,2
CBAEMS-Gro,actor,1,0.0011000089,0,306.8575396825,2
CCC,actor,10,0.0006625914,20083.4605422962,372.7952380952,2
CCCD-Pue,actor,1,0.0001709846,0,307.7773809524,2
CCTI,actor,1,0.0001709846,0,307.7773809524,2
CDD,actor,1,5.69259039486733E-07,0,220.080952381,2
CDDH_Fr_JuanLarios,actor,2,0.0001715594,4791,308.944047619,2
CDHTlachinollan,actor,3,0.000601829,4816.1163443073,317.475,2
CDHVitoria,actor,1,0.0002404768,0,317.0984126984,2
CDMP,actor,3,0.0002469336,2019.6430017744,307.1468253968,2
CEB,actor,1,3.82663993427861E-07,0,223.2400793651,2
CECOP,actor,11,0.0050300205,1937.6474281061,362.1654761905,2
CEND-SNTE,actor,2,0.0003742484,172.5657018203,315.4599206349,2
CENEO,actor,4,0.0032130243,120.7761667712,308.5849206349,2
Centro Prodh,actor,2,0.0001928744,2729.1358163658,313.9357142857,2
CETEG,actor,93,0.0571261243,143505.391445428,482.3261904762,2
CE-UAEH,actor,1,1.51752993617795E-18,0,2,4
CHYNAC,actor,1,7.33236176424747E-06,0,275.2011904762,2
CIDHM,actor,3,0.0006796324,22.0644122737,328.8880952381,2
CILAS,actor,3,3.7672303899525E-05,9644.5817489133,301.9003968254,2
CIOAC,actor,18,0.0005651841,17829.3875366298,370.8071428571,2
CIPO-RFM,actor,1,0.000009232,0,239.9650793651,2
CiudadanosObs,actor,1,6.88080531821726E-19,0,2.8333333333,5
CLE,actor,8,1.80604156019459E-17,114.5,16,6
CLEM,actor,1,0.0002353853,0,301.3396825397,2
ClubRotario,actor,1,2.5700484713317E-18,0,5.0833333333,3
CMDPDH,actor,1,0.0001709846,0,307.7773809524,2
CMPM,actor,4,0.0110072738,4015.1680646913,372.4595238095,2
CMT,actor,1,0.0002597832,0,294.2496031746,2
Cmte68,actor,3,0.0013302275,414.7247168703,356.2226190476,2
CmteAgroGto,actor,2,7.54779576447518E-06,0.125,256.625,2
CmteAyotzinapa,actor,1,0.000161489,0,300.2202380952,2
CmteCerezo,actor,4,0.0005252095,2735.4370453202,333.1345238095,2
CmteSolidaridadAyotz,actor,1,0.0002404768,0,317.0984126984,2
CNC,actor,7,7.32470452213646E-06,13222.9302716692,277.103968254,2
CN-CI,actor,1,0.0003405213,0,299.7932539683,2
CNCU,actor,1,1.35936356981129E-05,0,277.8535714286,2
CNE,actor,1,0.0003767316,0,314.0916666667,2
CNI,actor,1,0.0002958902,0,330.5952380952,2
CNMLC,actor,1,0.0003321687,0,279.8166666667,2
CNOC,actor,1,2.01493488166512E-06,0,245.0595238095,2
CNPA-MLN,actor,52,0.0019334052,188953.999545899,439.8,2
CNPR,actor,5,1.28291974173255E-07,2.5,204.4494227994,2
CNSUESIC,actor,1,0.0001653488,0,289.2996031746,2
CNTE,actor,20,0.006756156,66594.3638750349,412.3833333333,2
CNTE-10,actor,3,0.0064024101,309.501748264,344.6742063492,2
CNTE-11,actor,2,0.0027209032,201.2117327992,314.8468253968,2
CNTE-14,actor,27,0.0715657417,51507.1361849457,435.894047619,2
CNTE-15,actor,1,1.4235534876325E-18,0,2,4
CNTE-18,actor,43,0.0943245147,101048.326952126,460.3928571429,2
CNTE-19,actor,3,0.010154317,2084.0329340812,345.8051587302,2
CNTE-22,actor,50,0.0991424125,139216.908965206,463.6964285714,2
CNTE-23,actor,5,0.0206614694,12936.4710653091,377.5095238095,2
CNTE-32,actor,9,0.0330306593,3238.9393401656,366.3154761905,2
CNTE-34,actor,5,0.0031134734,18682.3880152503,353.6571428571,2
CNTE-36,actor,11,0.0193207211,18742.2008377891,384.4297619048,2
CNTE-40,actor,121,0.9501420718,77569.1101623101,483.6357142857,2
CNTE-7,actor,131,1,124121.671959194,498.519047619,2
CNTE-9,actor,23,0.0702481043,18462.2827851501,415.1976190476,2
COCEI,actor,1,3.32216958502937E-06,0,210.9828643579,2
COCEM,actor,1,0.0002888155,0,312.0833333333,2
COCYP,actor,2,0.0001945262,1168.4568600522,329.8071428571,2
CODEHUTAB,actor,1,1.61792225671306E-18,0,3,7
CODUC,actor,15,0.0002246045,12569.7248636467,354.394047619,2
Colectivo1Dic,actor,1,2.88293030821196E-06,0,235.5706349206,2
ColectivoAzul,actor,1,2.55455436631755E-07,0,238.3008297258,2
ColectivoLabris,actor,1,0.0001665215,0,304.5607142857,2
Colectivo SEP-SC,actor,1,3.13587963643975E-06,0,210.6518759019,2
ColectivoSolecito,actor,1,1.64651187970835E-18,0,2.5,8
ColonosTulpetlac,actor,1,7.72698805022087E-05,0,265.8555555556,2
