name,tipo,centralidad_grado_simple,fortaleza,centralidad_grado_ajustado,centralidad_eigenvalor,centralidad_cercania,centralidad_intermediacion,comunidad_DIRTLPAwb,clustering_local_simple,clustering_local_mediaGeom,clustering_local_mediaAritmetica
2P,tipo de actor,13,14,13.4907375632,0.0007791086,233.1361668318,1053.7956349206,1,0.6281310212,0.6339045987,0.6426253155
2P / DD,tipo de actor,6,6,6,0.001193567,241.2114142191,1457.3581751582,8,0.3043478261,0.3192105115,0.3227571116
AC,tipo de actor,2,3,2.4494897428,0.0004126036,216.1804697153,328.3333333333,5,0.8,0.8203900844,0.8214285714
AD,tipo de actor,15,17,15.9687194227,0.009423851,239.0542120494,1093.425,5,0.7805695142,0.7676569561,0.7644333571
AD / FA,tipo de actor,1,1,1,0.0007315867,195.7592002519,0,3,0,0,0
AD / IN,tipo de actor,1,1,1,5.66833320493809E-05,169.090571925,0,6,0,0,0
AM,tipo de actor,4,4,4,7.09779575327028E-06,144.278614749,4.5,1,1,1,1
AP,tipo de actor,21,22,21.4941852602,0.0129699493,259.7793117906,1024.1150793651,3,0.7177825774,0.7179841834,0.7180790034
AV,tipo de actor,24,28,25.9229627936,0.0109179689,267.2678410441,6270.8694812498,8,0.5967391304,0.5937742564,0.5891914714
AV / FA,tipo de actor,3,3,3,3.81324084338781E-05,156.4155296044,53.4416666667,8,0.6666666667,0.6666666667,0.6666666667
AV / MIG,tipo de actor,8,8,8,0.000012131,133.0041101169,14,6,0,0,0
BC,tipo de actor,1,1,1,0.0002430799,193.0643842755,0,7,0,0,0
CA,tipo de actor,99,234,152.2038107276,0.0170767376,381.2636318227,53066.5103785104,1,0.6621893045,0.6715947342,0.6766351615
CA / IN,tipo de actor,24,25,24.4948974278,0.0006733527,221.9394943431,254.3666666667,1,0.6754890679,0.6738152902,0.6737888199
CA / RP,tipo de actor,1,1,1,2.07367564462163E-05,167.5055599665,0,1,0,0,0
CR,tipo de actor,2,2,2,0.0008341066,205.5399379999,1,7,1,1,1
CS,tipo de actor,8,11,9.3808315196,0.0030325402,245.4882156505,1302.8391414141,6,0.7284768212,0.720359722,0.7187928669
CT,tipo de actor,1,1,1,0.0007215616,192.9104889953,0,1,0,0,0
CU,tipo de actor,3,3,3,9.03048570345914E-05,187.3585913348,106.3416666667,6,0.2307692308,0.2260104367,0.224852071
DD,tipo de actor,25,30,27.3861278753,0.008747116,278.025117526,7006.6552669553,8,0.6181575434,0.6219993974,0.6246074793
DD / PF,tipo de actor,5,6,5.4772255751,0.002928085,249.0827491563,393.2857142857,5,0.8421052632,0.8497983677,0.8511066398
DD / RL,tipo de actor,1,1,1,2.73980505529161E-05,162.0355385284,0,8,0,0,0
DD / SI,tipo de actor,3,3,3,0.0007582427,202.778170985,2.75,8,0.6666666667,0.6765545535,0.6794871795
EC,tipo de actor,8,11,9.3808315196,0.0009236314,233.2957823098,475.8916666667,6,0.4057971014,0.3941710631,0.3925104022
EC / SI,tipo de actor,1,1,1,1.41406969888017E-05,165.2891142811,0,6,0,0,0
ED / SPB,tipo de actor,341,578,443.9572051448,1,569.5061251563,130828.083751263,2,0.7979988518,0.8067869379,0.8106620292
ES,tipo de actor,58,64,60.9261848469,0.0405835419,268.0124672177,5450.4094667029,7,0.9039184112,0.9056021359,0.9064748201
ES / CÑ,tipo de actor,13,13,13,0.0040275705,241.7317530045,1480.0033730159,5,0.6588785047,0.6610567536,0.6614890198
FE,tipo de actor,3,3,3,0.0015754995,205.5730655522,138.8511904762,5,0.8125,0.8125,0.8125
FE / JO,tipo de actor,1,1,1,1.66075581698349E-05,152.9114259077,0,6,0,0,0
FE / RP,tipo de actor,1,1,1,2.27499907728705E-18,2.5094561465,0,0,0,0,0
IN,tipo de actor,19,25,21.7944947177,0.0083647275,266.2708670998,6055.1429158561,6,0.528379773,0.5172926396,0.5149415331
IN / AD,tipo de actor,2,2,2,4.95016988453275E-05,173.5835079268,0,3,0.1538461538,0.1512192786,0.1504424779
IN / CA,tipo de actor,20,22,20.9761769634,0.0032900029,267.6439224393,831.0364468864,1,0.6448534424,0.6606745383,0.6661971831
IN / OC,tipo de actor,1,1,1,2.82151659807624E-05,170.3286006041,0,6,0,0,0
JO,tipo de actor,1,1,1,2.92835246077983E-05,140.4037407699,0,7,0,0,0
LG / MU,tipo de actor,1,4,2,4.6792287443508E-05,179.7302771657,0,8,0,0,0
MIG,tipo de actor,10,10,10,0.0020909112,217.7841842187,5702,6,0.1578947368,0.1638575821,0.1656441718
MU,tipo de actor,7,10,8.3666002653,0.0012692849,233.3130515606,2045.0424043062,8,0.3488372093,0.3211427153,0.3110539846
MU / DD,tipo de actor,4,4,4,4.15806513660546E-05,166.4589750814,83.2152014652,8,0.3023255814,0.2858528539,0.2719298246
ONO,tipo de actor,2,2,2,9.66260586544418E-05,193.6935751734,0,1,1,1,1
PC,tipo de actor,1,1,1,0.0007775332,198.3057251868,0,5,0,0,0
PR,tipo de actor,43,46,44.4747119159,0.0022446824,261.9958451577,3650.6907259407,1,0.6753794266,0.6860153562,0.6903162379
PS,tipo de actor,1,2,1.4142135624,5.86043200739545E-05,174.4960824687,0,8,0,0,0
PX / RL,tipo de actor,1,1,1,0.000000021,109.4022962383,0,3,0,0,0
RE,tipo de actor,1,1,1,0.0007215616,192.9104889953,0,8,0,0,0
RL,tipo de actor,4,4,4,2.91222226219777E-05,167.6223295308,1360.9857142857,3,0.1568627451,0.1631503469,0.1650943396
RL / DD,tipo de actor,1,1,1,6.90242768426593E-06,149.9168209279,0,7,0,0,0
RL / IN,tipo de actor,5,10,7.0710678119,1.06676548772049E-17,7.0710678119,10,0,0,0,0
RL / MU,tipo de actor,1,1,1,9.12248596194843E-07,139.5737866653,0,8,0,0,0
RP,tipo de actor,91,111,100.503731274,0.0775700808,370.5617116393,24005.4645721968,5,0.7366014732,0.7408167507,0.7421388675
RP / BC,tipo de actor,2,2,2,6.27598985313217E-05,172.3842009298,5.1666666667,6,0.3333333333,0.3333333333,0.3333333333
RP / DD,tipo de actor,1,1,1,6.8887046356432E-06,147.5655512682,0,8,0,0,0
SI,tipo de actor,4,6,4.8989794856,0.0001969559,194.1226890211,684.8,7,0.358974359,0.3587553204,0.3586956522
SI / TSP,tipo de actor,1,1,1,0.0001719733,186.9827140405,0,5,0,0,0
SP,tipo de actor,13,19,15.7162336455,0.0153642589,292.3696674126,997.8004148629,5,0.8414901388,0.8439554055,0.8418876186
SPA,tipo de actor,24,35,28.9827534924,0.0258466703,309.7641959791,2790.1758179321,5,0.7752774353,0.7916812068,0.7930867649
SPA / ED,tipo de actor,1,1,1,0.0005572134,203.7439654924,0,4,0,0,0
SPA / MI,tipo de actor,7,8,7.4833147735,0.0025238894,241.0838823778,1525.575,5,0.6822429907,0.7018757234,0.7076023392
SPA / TA,tipo de actor,5,5,5,0.0008366922,215.7133862451,429.8426073926,5,0.7228915663,0.7268053789,0.727520436
SPB,tipo de actor,86,104,94.5727233403,0.0806708222,349.1699398302,11829.1663856976,5,0.8079690396,0.8096736964,0.8088367899
SPB / ED,tipo de actor,114,193,148.3307115873,0.1728904436,414.2079088699,40960.1418401044,4,0.8306213578,0.8332193701,0.8333955104
SPB / TSG,tipo de actor,1,1,1,5.91205328598858E-05,167.5156293976,0,7,0,0,0
SPC,tipo de actor,3,7,4.582575695,6.33552745787808E-18,5.1944525285,5,0,0,0,0
SPC / UN,tipo de actor,1,1,1,0.0012727367,218.8836352985,0,5,0,0,0
