name,tipo,centralidad_grado_simple,fortaleza,centralidad_grado_ajustado,centralidad_eigen,centralidad_cercania,centralidad_intermediacion,comunidad DIRTLPAwb,clustering_local,clustering_local_mediaAritmetica,clustering_local_mediaGeometrica
2P,sector,17,48,28.5657137142,0.0053454529,123.2571953877,21,2,0.8609574512,0.9039849687,0.8912647408
2P / DD,sector,15,24,18.973665961,0.0055514884,101.6308963094,0,1,0.860989899,0.9208470904,0.8901673141
AC,sector,9,12,10.3923048454,0.0071754593,98.3742214599,0,5,0.8591355599,0.9274233148,0.8970179011
AD,sector,17,42,26.7207784318,0.0125475207,127.5795975421,0,2,0.8827828019,0.9244249439,0.9041010674
AD / FA,sector,1,1,1,4.99203770265735E-05,63.6564341216,0,2,NA,NA,NA
AD / IN,sector,1,1,1,4.90146972493659E-05,62.4091809486,0,2,NA,NA,NA
AM,sector,3,7,4.582575695,0.0004019423,78.5888831603,0,3,0.973006135,0.9847797601,0.980813581
AP,sector,23,49,33.5708206632,0.0215456498,124.5242750572,0,5,0.8854462725,0.9269664327,0.9117630281
AV,sector,13,62,28.3901391332,0.0171411171,153.6131188782,88,1,0.8690803658,0.8989934226,0.8893704141
AV / FA,sector,3,5,3.8729833462,0.0008861468,86.2491243157,0,1,0.8712686567,0.8995644714,0.8886956392
AV / MIG,sector,5,15,8.6602540378,0.0023993379,111.1839106898,52.25,1,0.8093396788,0.8668120074,0.8483111815
BC,sector,2,2,2,0.0001603811,64.1290094051,0,2,0.9590443686,0.9749614792,0.9675077152
CA,sector,29,550,126.2933094032,0.089405857,223.9982477354,1725,2,0.8868414856,0.8936251595,0.9035472441
CA / IN,sector,16,82,36.2215405525,0.0094853748,129.3770361793,0,2,0.8759477965,0.9183804269,0.907024859
CA / RP,sector,3,4,3.4641016151,0.0003327723,76.8775114202,0,2,0.9091734787,0.9471306807,0.9362969454
CR,sector,3,3,3,0.000637586,69.4667032649,0,5,0.9406779661,0.9763045122,0.959141005
CS,sector,16,34,23.3238075794,0.0096676721,110.5438982296,2,2,0.8785144626,0.9253007907,0.9071678686
CT,sector,2,2,2,0.0005853477,67.690748265,0,4,0.9041322314,0.9501845018,0.9343903159
CU,sector,5,7,5.9160797831,0.0002681424,77.9823141086,0,2,0.8587746625,0.9075142614,0.8842984786
DD,sector,17,63,32.7261363439,0.0154766057,155.2562989161,0,1,0.8900460447,0.9031991472,0.9019953205
DD / PF,sector,6,9,7.3484692283,0.0064561944,98.4704553627,0,5,0.8426339286,0.9109699969,0.8775764123
DD / RL,sector,2,2,2,0.0005985718,70.023769826,0,1,0.8498293515,0.9216665651,0.8913651298
DD / SI,sector,4,8,5.6568542495,0.0015971289,96.0205491364,0,1,0.8063667456,0.8569692405,0.835810514
EC,sector,11,30,18.1659021246,0.0023972542,114.6805557895,0.5,2,0.8807384414,0.9062561163,0.9027851072
EC / SI,sector,1,2,1.4142135624,9.98407540531324E-05,77.3787513113,0,2,NA,NA,NA
