"","Abusos de policías y militares","Condiciones de trabajo","Contra funcionarios electos","Contratos colectivos","Corrupción","Defensa nacional","Desapariciones forzadas","Despidos","Elecciones","Estabilidad laboral","Fuentes de empleo","Homicidios","Impartición de justicia","Impuestos","Indígenas","Infomación verídica","Jubilaciones","Medio ambiente","Mesa de negociación","Migrantes","Mujeres","Permisos","Presos políticos","Prestaciones","Procuración de justicia","Recursos (consumidores)","Recursos (educación)","Recursos (rurales)","Recursos (salud)","Recursos (seguridad)","Recursos (urbanos)","Reformas (constitucionales)","Reformas (no const.)","Regulación del mercado","Rendición de cuentas (derechos)","Rendición de cuentas (informativas)","Represión de protestas","Salarios","Sindicales","Solidaridad con extranjeros","Trabajo de autoridades"
"2P",1,0,0,0,0,5,1,0,1,0,0,0,0,0,2,0,0,6,1,0,0,2,5,0,1,0,0,8,0,0,0,0,4,2,0,4,2,0,1,2,0
"2P / DD",0,0,1,0,0,2,3,0,0,0,0,0,0,0,2,0,1,2,1,0,1,0,0,0,4,0,0,1,0,0,0,1,2,0,1,0,0,1,1,0,0
"AC",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,0,0,0
"AD",0,1,1,2,0,4,8,1,0,0,0,1,0,0,0,0,0,5,0,0,0,3,2,0,2,0,0,1,0,0,0,3,0,0,1,3,3,1,0,0,0
"AD / FA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AD / IN",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
"AP",1,1,1,0,0,1,3,1,1,2,1,2,0,0,0,1,0,2,3,0,0,0,4,1,1,0,1,0,0,0,0,7,3,0,4,0,2,5,0,1,0
"AV",0,2,0,0,1,0,23,0,7,0,0,1,3,0,2,0,0,0,0,0,5,0,3,0,7,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,2
"AV / FA",0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AV / MIG",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"BC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"CA",12,0,5,0,5,28,19,1,0,0,0,3,1,0,18,0,2,44,22,0,5,3,21,0,9,22,0,187,0,3,1,16,32,62,15,6,4,2,1,0,1
"CA / IN",12,0,0,0,0,14,0,0,0,0,0,1,0,0,14,0,0,5,3,0,0,1,2,0,2,0,0,11,0,2,0,2,3,8,0,1,1,0,0,0,0
"CA / RP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0
"CR",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"CS",0,0,0,0,0,2,0,2,0,0,0,1,1,0,1,0,0,2,0,0,1,0,5,0,0,3,0,0,0,0,0,3,4,2,0,2,2,0,1,0,2
"CT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"CU",0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
"DD",0,0,2,0,0,1,26,0,1,0,0,1,1,0,2,0,0,0,0,0,3,1,3,0,7,0,0,1,0,0,0,0,6,0,2,3,2,0,0,0,1
"DD / PF",0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"DD / RL",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"DD / SI",0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC",0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,3,1,0,0,0,0,0,0,0,1,0,2,1,0,3,3,0,0,0,1
"EC / SI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ED / SPB",0,14,26,6,4,7,85,19,17,37,16,19,5,4,3,15,0,5,76,0,1,0,58,5,33,2,18,1,1,0,0,426,31,0,36,2,63,21,28,0,0
"ES",0,0,8,1,0,0,38,0,2,0,2,3,1,0,0,0,0,0,2,0,0,0,0,1,16,0,12,0,0,0,0,12,4,0,2,4,1,0,1,0,0
"ES / CÑ",0,0,1,0,0,2,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,7,0,0,1,0,1,0,0,0,0
"FE",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0
