name,tipo,centralidad_grado,centralidad_intermediacion,centralidad_eigenvector,centralidad_cercania,centralidad_grado_normalizado,centralidad_cercania_normalizada,centralidad_intermediacion_normalizada,componente,clustering_local
AA,actor,1,0,0,1.5,0.0017152659,0.0010380623,0,1,NA
AARC,actor,1,0,6.93008178070179E-08,119.4133449883,0.0017152659,0.0826389931,0,2,NA
ABB,actor,2,0.1666666667,0.0006657597,160.7358225108,0.0034305317,0.1112358633,3.24880590139094E-07,2,0.9
ABC,actor,1,0,7.26074323742673E-11,92.8298673549,0.0017152659,0.0642421227,0,2,NA
ACUDDEH,actor,2,177.4029267428,2.81935316820125E-06,148.9584415584,0.0034305317,0.1030854267,0.0003458086,2,0.1052631579
ACVictorianoPol,actor,1,0,0,4.3333333333,0.0017152659,0.0029988466,0,3,NA
AEMAC,actor,1,0,2.29008019441317E-05,159.5477633478,0.0017152659,0.1104136771,0,2,NA
AHMLFMYMY,actor,1,0,0.000000002,107.2286699412,0.0017152659,0.074206692,0,2,NA
AI,actor,3,6688.9615927141,3.89558494109653E-06,148.4073232323,0.0051457976,0.1027040299,0.0130386827,2,0
AJTEAM,actor,4,25.9128172923,4.27338153630315E-06,146.3370851371,0.0068610635,0.1012713392,5.05114282444382E-05,2,1
ALCANO,actor,2,0.1111111111,7.09683681599534E-06,147.1805777556,0.0034305317,0.1018550711,2.1658706009273E-07,2,0.3571428571
Alconsumidor,actor,1,0,6.88294268323514E-07,142.0319264069,0.0017152659,0.0982919906,0,2,NA
AMDJ,actor,1,0,2.68148028237774E-06,138.3890692641,0.0017152659,0.0957709822,0,2,NA
AMOTAC,actor,2,0.1666666667,2.89061205970549E-06,142.6417249417,0.0034305317,0.0987139965,3.24880590139094E-07,2,0.2
AMUCSS,actor,2,267.8843022891,6.3818678001602E-06,162.9643939394,0.0034305317,0.1127781273,0.0005221825,2,0.1428571429
ANAD,actor,3,10606.7868915585,0.0001115264,187.8393578644,0.0051457976,0.1299926352,0.0206756351,2,0.025
ANDAR,actor,1,0,0,2.5,0.0017152659,0.0017301038,0,4,NA
Anonymous,actor,1,0,3.39462057808158E-06,135.9644660895,0.0017152659,0.0940930561,0,2,NA
ANP,actor,8,189.0522549872,0.0017065929,176.9123737374,0.0137221269,0.1224307085,0.0003685164,2,0.9411764706
ANUEE,actor,4,2805.9270305236,0.0007477622,191.7067460317,0.0068610635,0.1326690284,0.0054695474,2,0.2173913043
AP,actor,1,0,0,4.3333333333,0.0017152659,0.0029988466,0,3,NA
APIITDTT,actor,3,621.7452913719,0.0003554676,166.9595598846,0.0051457976,0.115542948,0.0012119579,2,0.5
