nombre_abreviado,tipo1,tipo2,sector,RFOSC,Tipo de organización,forma_org,alcance,alcance_estatal,figura_juridica,centralidad_grado_simple,fortaleza,centralidad_grado_ajustado,centralidad_eigenvalor,centralidad_cercania,centralidad_intermediacion,centralidad_Katz,componente,clustering_local_ponderado,clustering_local,bloque_similaridad_estructural,bloque_similaridad_regular,comunidad_infomap,flujo_en_modulo_infomap,knnw_conectividadProm_colaboradores_(ponderado),knn_conectividadProm_colaboradores
AA,CU,NA,CU,No,Paraguas,Cultural,nacional,Nacional,Informal,1,1,1,2.45367664761639E-18,1,0,1.0449320794,1,0,0,,1,,,1,1
AARC,CA,NA,CA,No,Discreta,Económico-gremial,local,Sinaloa,Asociación Civil,2,1,1.4142135624,0.000000002,59.565126346,0,10.0987708063,2,1,1,1,2,25,0.000600601,11.5,7
ABB,MIG,NA,MIG,Sí,Discreta,Civil,nacional,Nacional,Asociación Civil,5,2,3.1622776602,6.69887775722273E-05,76.8354044342,0,83.948349961,2,1,1,2,3,3,0.0012012,18,35.5
ABC,DD,NA,DD,No,Discreta,Civil,local,Estado de México,Asociación Civil,3,1,1.7320508076,3.39103756156874E-12,45.1899684173,0,1.3589374189,2,1,1,3,4,14,0.000600601,7,5
ACUDDEH,DD,NA,DD,No,Discreta,Civil,local,CDMX,Sociedad Civil,11,2,4.6904157598,1.0940688674298E-07,59.9144288125,4,43.6450470512,2,0.7075,0.6727272727,4,5,8,0.0012012,11.7272727273,16.5
ACVictorianoPol,PS,NA,PS,No,Discreta,Civil,local,Baja California Sur,Asociación Civil,5,1,2.2360679775,9.81470659046555E-18,2.7839709209,0,1.2788829578,3,1,1,,4,,,5.4,6
AEMAC,CU,NA,CU,Sí,Discreta,Cultural,local,CDMX,Asociación Civil,5,1,2.2360679775,8.55450837570402E-07,69.8036022999,0,99.5358416405,2,1,1,2,6,32,0.000600601,22,39
AHMLFMYMY,LG,MU,LG / MU,No,Discreta,Cultural,local,CDMX,Informal,9,1,3,3.29170536984329E-11,43.2143466269,0,2.9244456632,2,1,1,3,7,21,0.000600601,9.8888888889,12
AI,DD,SI,DD / SI,No,Matriz,Otra,internacional,Internacional,Asociación Internacional,8,3,4.8989794856,4.13501920900547E-07,74.8464873721,2714.5,53.2372667888,2,0.3492063492,0.3214285714,5,8,14,0.0018018,10.625,10.6666666667
AJTEAM,AM,NA,AM,No,Discreta,Económico-gremial,local,CDMX,Asociación Civil,2,4,2.8284271247,5.94703030039675E-07,90.0506058063,0,44.1846789447,2,1,1,6,9,6,0.0024024,20.5,10.25
ALCANO,CA,NA,CA,Sí,Matriz,Económico-gremial,nacional,Nacional,Asociación Civil,8,2,4,8.77698512044207E-08,66.039597441,0,95.2374025033,2,1,1,4,10,7,0.0012012,16.125,41.5
Alconsumidor,CS,NA,CS,Sí,Discreta,Urbano-gremial,local,CDMX,Asociación Civil,3,1,1.7320508076,4.63056826541193E-08,67.7301697016,0,18.2029143688,2,1,1,5,6,17,0.000600601,14,41
