actor1,actor2,peso_proyeccion_colaborativa,homofilia_sector,homofilia_tipos,homofilia_organizacion,homofilia_forma_org,homofilia_alcance,homofilia_alcance_estatal,homofilia_RFOSC
AA,#YoSoy132-Qro,1,No,No,No,No,No,No,Sí
AARC,CAP,0.5,Sí,Sí,No,Sí,No,No,No
AARC,FDPAS,0.5,Sí,Sí,No,Sí,Sí,Sí,Sí
ABB,CNTE-18,0.4,No,No,No,No,No,No,No
ABB,FCSxM,0.4,No,No,No,No,No,No,No
ABB,SITCBEM,0.4,No,No,No,No,No,No,No
ABB,STASPE,0.4,No,No,Sí,No,No,No,No
ABB,SUEUM,0.4,No,No,Sí,No,No,No,No
ABC,MovidasxEncontrarlas,0.3333333333,No,No,Sí,Sí,Sí,Sí,Sí
ABC,OCNF,0.3333333333,No,No,No,Sí,No,No,Sí
ABC,SolidaridadxFam,0.3333333333,No,No,Sí,Sí,Sí,Sí,Sí
ACUDDEH,CCC,0.125,No,No,No,No,No,No,No
ACUDDEH,CCCD-Pue,0.125,No,No,Sí,No,Sí,No,No
ACUDDEH,CCTI,0.125,No,No,No,Sí,Sí,Sí,No
ACUDDEH,CDDH_Fr_JuanLarios,0.125,Sí,Sí,Sí,Sí,Sí,No,Sí
ACUDDEH,CMDPDH,0.125,Sí,Sí,Sí,Sí,No,No,No
ACUDDEH,CmteCerezo,0.325,Sí,Sí,Sí,Sí,Sí,Sí,Sí
ACUDDEH,CSDH_MnsrRomero,0.2,No,Sí,No,Sí,Sí,Sí,No
ACUDDEH,Frayba,0.125,Sí,Sí,Sí,Sí,Sí,No,Sí
ACUDDEH,¡HastaEncontrarlos!,0.325,No,No,Sí,Sí,Sí,Sí,Sí
ACUDDEH,MULT,0.2,No,No,Sí,No,Sí,No,Sí
ACUDDEH,REDDH,0.2,No,No,Sí,Sí,Sí,No,Sí
ACVictorianoPol,AP,0.2,No,No,Sí,No,No,No,Sí
ACVictorianoPol,ClubRotario,0.2,Sí,Sí,Sí,Sí,Sí,Sí,Sí
ACVictorianoPol,CROC,0.2,No,No,No,No,No,No,Sí
ACVictorianoPol,MujeresEnAcción,0.2,No,No,Sí,Sí,Sí,Sí,Sí
ACVictorianoPol,VoluntariosxLapaz,0.2,No,No,Sí,Sí,Sí,Sí,Sí
AEMAC,CILAS,0.2,No,No,Sí,No,Sí,Sí,No
AEMAC,JudíosPalestina,0.2,No,No,Sí,No,No,No,No
AEMAC,MMSP,0.2,No,No,No,No,Sí,Sí,No
AEMAC,SME,0.2,No,No,No,No,No,No,No
AEMAC,UNTyPP,0.2,No,No,No,No,No,No,No
AHMLFMYMY,ColectivoLabris,0.1111111111,Sí,Sí,Sí,No,Sí,Sí,Sí
AHMLFMYMY,FeministasCom,0.1111111111,No,No,Sí,No,No,No,Sí
AHMLFMYMY,HelechoVerde,0.1111111111,No,No,Sí,No,Sí,Sí,Sí
AHMLFMYMY,LunasLesbianas,0.1111111111,Sí,Sí,Sí,No,Sí,No,Sí
AHMLFMYMY,NHRC,0.1111111111,No,No,Sí,No,Sí,No,Sí
AHMLFMYMY,OCNF,0.1111111111,No,Sí,No,No,No,No,Sí
AHMLFMYMY,Rednes,0.1111111111,No,No,Sí,No,Sí,Sí,Sí
AHMLFMYMY,RosasRojas,0.1111111111,No,No,Sí,No,Sí,Sí,Sí
AHMLFMYMY,TierraLesbik,0.1111111111,Sí,Sí,Sí,No,Sí,Sí,Sí
AI,Centro Prodh,0.6666666667,No,Sí,No,No,No,No,Sí
AI,CNTE,0.3333333333,No,No,Sí,No,No,No,Sí
AI,HIJOS-Mex,0.3333333333,No,No,No,No,Sí,Sí,Sí
AI,MPJD,0.3333333333,No,No,No,No,No,No,Sí
AI,OCNF,0.3333333333,No,Sí,No,No,No,No,Sí
AI,REDIM,0.3333333333,No,Sí,No,No,No,No,Sí
AI,Red_TDT,0.3333333333,No,Sí,No,No,No,No,Sí
AI,SERAPAZ,0.3333333333,No,Sí,Sí,No,No,No,No
AJTEAM,Barzón,3.5,No,No,No,No,No,No,No
AJTEAM,SNTTTASS,0.5,No,No,No,Sí,Sí,Sí,Sí
ALCANO,CAM,0.25,Sí,Sí,No,Sí,Sí,Sí,Sí
ALCANO,CAP,0.25,Sí,Sí,No,Sí,Sí,Sí,Sí
ALCANO,CIOAC,0.25,Sí,Sí,Sí,Sí,Sí,Sí,Sí
ALCANO,CODUC,0.25,Sí,Sí,No,Sí,Sí,Sí,Sí
ALCANO,FAC,0.25,Sí,Sí,No,Sí,Sí,Sí,No
ALCANO,FIOAC,0.25,Sí,Sí,No,Sí,No,No,No
ALCANO,UGOCM-JL,0.25,Sí,Sí,Sí,Sí,Sí,Sí,No
ALCANO,UNTA,0.25,Sí,Sí,Sí,Sí,Sí,Sí,Sí
Alconsumidor,Barzón,0.3333333333,No,No,No,No,No,No,Sí
Alconsumidor,COMDA,0.3333333333,No,No,No,No,No,No,No
Alconsumidor,EPC,0.3333333333,Sí,Sí,Sí,Sí,Sí,Sí,Sí
AMDJ,CNTE,1,Sí,Sí,No,Sí,No,No,Sí
AMOTAC,CCC,0.4,No,No,No,Sí,Sí,Sí,No
AMOTAC,CmteAgroGto,0.4,No,No,Sí,Sí,No,No,Sí
AMOTAC,UCD,0.4,No,No,Sí,Sí,Sí,Sí,No
AMOTAC,UFIC,0.4,No,No,Sí,Sí,Sí,Sí,Sí
AMOTAC,UNORCA,0.4,No,No,No,Sí,Sí,Sí,No
AMUCSS,CAP,0.1428571429,No,No,Sí,Sí,No,No,Sí
AMUCSS,CCC,0.1428571429,No,No,Sí,Sí,No,No,Sí
AMUCSS,CNOC,0.25,No,No,Sí,Sí,No,No,Sí
AMUCSS,CNPA-MLN,0.1428571429,No,No,Sí,Sí,No,No,Sí
AMUCSS,COCYP,0.1428571429,No,No,Sí,Sí,No,No,Sí
AMUCSS,CONOC,0.25,No,No,Sí,Sí,No,No,Sí
AMUCSS,FDC,0.25,No,No,No,Sí,Sí,No,Sí
AMUCSS,FICAM,0.1428571429,No,No,Sí,No,No,No,No
AMUCSS,FPFV,0.1428571429,No,No,Sí,No,No,No,Sí
AMUCSS,MAIZ,0.25,No,No,Sí,Sí,No,No,Sí
AMUCSS,UCEN,0.1428571429,No,No,No,Sí,No,No,No
ANAD,ATM,0.1111111111,No,No,Sí,No,Sí,Sí,Sí
ANAD,CEND-SNTE,0.1111111111,No,No,No,No,Sí,Sí,Sí
ANAD,CNPA-MLN,0.5,No,No,No,No,Sí,Sí,No
ANAD,FICAM,0.5,No,No,No,No,Sí,Sí,Sí
ANAD,FSM,0.1111111111,No,No,No,No,Sí,Sí,Sí
ANAD,NHRC,0.5,No,No,Sí,Sí,No,No,Sí
ANAD,Pan&Rosas,0.5,No,No,Sí,Sí,No,No,Sí
ANAD,SITUAM,0.1111111111,No,No,Sí,No,No,No,Sí
ANAD,SNTCPFISC,0.1111111111,No,No,No,No,Sí,Sí,Sí
ANAD,SNTSS,0.1111111111,No,No,No,No,Sí,Sí,Sí
ANAD,STRM,0.1111111111,No,No,No,No,Sí,Sí,Sí
ANAD,SUTIEMS,0.1111111111,No,No,Sí,No,No,No,Sí
ANAD,UJM,0.1111111111,Sí,Sí,Sí,Sí,No,No,Sí
ANDAR,CDD,0.3333333333,No,No,No,No,No,No,No
ANDAR,DDESER,0.3333333333,No,Sí,No,Sí,Sí,Sí,Sí
ANDAR,RL,0.3333333333,No,No,Sí,Sí,Sí,Sí,Sí
Anonymous,#YoSoy132-CDMX,0.5,No,No,Sí,No,No,No,Sí
Anonymous,#Yosoyred,0.5,Sí,Sí,No,No,No,No,Sí
ANP,CETEG,3.8333333333,No,No,No,No,No,No,Sí
ANP,CNTE-14,2.5,No,No,No,No,No,No,Sí
ANP,FECSM,0.3333333333,No,No,No,No,Sí,Sí,Sí
ANP,MPG,1.3333333333,No,No,Sí,Sí,No,No,Sí
ANUEE,ATM,0.2678571429,No,No,No,No,Sí,Sí,Sí
ANUEE,CNTE,0.125,No,No,No,No,Sí,Sí,Sí
ANUEE,CNTE-18,0.1428571429,No,No,No,No,No,No,Sí
ANUEE,CNTE-9,0.1428571429,No,No,No,No,No,No,Sí
ANUEE,CUTM,0.1428571429,No,No,No,No,Sí,Sí,Sí
ANUEE,FPFVI,0.5,No,No,Sí,Sí,No,No,Sí
